Start,End,Energy (kWh)
2017-08-02 20:15:00,2017-08-02 21:05:00,0.01
2017-08-02 21:48:00,2017-08-03 07:11:00,7.06
2017-08-03 18:19:00,2017-08-03 18:20:00,0.02
2017-08-03 18:20:00,2017-08-03 19:43:00,4.75
2017-08-03 21:16:00,2017-08-03 22:09:00,2.96
2017-08-03 22:10:00,2017-08-04 07:13:00,4.48
2017-08-04 17:33:00,2017-08-04 18:15:00,2.33
2017-08-05 15:01:00,2017-08-06 07:06:00,7.91
2017-08-06 07:52:00,2017-08-06 08:07:00,0.81
2017-08-06 08:09:00,2017-08-06 09:17:00,0.73
2017-08-06 20:13:00,2017-08-07 11:22:00,8.44
2017-08-07 18:17:00,2017-08-08 07:22:00,8.63
2017-08-08 10:29:00,2017-08-08 11:24:00,3.13
2017-08-08 14:06:00,2017-08-08 16:39:00,8.74
2017-08-08 18:26:00,2017-08-09 08:16:00,3.82
2017-08-09 08:53:00,2017-08-09 10:19:00,2.21
2017-08-11 21:47:00,2017-08-12 08:44:00,8.63
2017-08-12 11:42:00,2017-08-12 16:17:00,5.88
2017-08-12 20:50:00,2017-08-13 15:26:00,8.56
2017-08-13 15:54:00,2017-08-13 19:52:00,1.4
2017-08-14 18:10:00,2017-08-14 20:01:00,6.4
2017-08-14 20:31:00,2017-08-15 07:20:00,2.19
2017-08-15 20:44:00,2017-08-16 06:29:00,16.66
2017-08-15 21:55:00,2017-08-16 07:32:00,8.1
2017-08-16 18:22:00,2017-08-16 20:07:00,6.11
2017-08-16 20:44:00,2017-08-17 07:13:00,3.48
2017-08-17 18:14:00,2017-08-17 18:41:00,1.47
2017-08-17 22:14:00,2017-08-17 22:18:00,0.22
2017-08-17 22:19:00,2017-08-18 07:26:00,8.41
2017-08-18 19:56:00,2017-08-19 07:37:00,8.5
2017-08-19 09:49:00,2017-08-19 15:08:00,7.88
2017-08-20 14:33:00,2017-08-20 15:42:00,3.94
2017-08-20 22:21:00,2017-08-21 07:20:00,7.07
2017-08-21 21:36:00,2017-08-22 07:15:00,8.98
2017-08-22 18:29:00,2017-08-23 07:10:00,8.27
2017-08-23 19:34:00,2017-08-24 07:08:00,8.12
2017-08-24 18:15:00,2017-08-24 20:28:00,7.61
2017-08-24 21:11:00,2017-08-25 07:23:00,4.99
2017-09-05 19:18:00,2017-09-06 08:09:00,22.78
2017-09-10 15:49:00,2017-09-10 21:07:00,18.86
2017-09-20 10:05:00,2017-09-20 12:03:00,7.03
2017-09-20 17:54:00,2017-09-21 06:08:00,18.4
2017-10-13 17:23:00,2017-10-14 09:24:00,24.57
2017-10-22 19:23:00,2017-10-23 06:48:00,22.35
2017-10-29 15:24:00,2017-10-30 07:36:00,20.97
2017-11-05 16:55:00,2017-11-06 06:38:00,22.42
2017-11-15 18:25:00,2017-11-16 08:19:00,23.6
2017-11-25 12:09:00,2017-11-26 12:40:00,23.53
2017-12-03 14:46:00,2017-12-03 17:02:00,8.05
2017-12-03 17:05:00,2017-12-04 06:35:00,13.57
2017-12-11 16:19:00,2017-12-12 09:49:00,21.08
2017-12-11 20:48:00,2017-12-12 07:17:00,9.71
2017-12-12 18:30:00,2017-12-13 07:11:00,9.6
2017-12-14 21:20:00,2017-12-15 07:02:00,8.99
2017-12-17 23:04:00,2017-12-18 07:28:00,10.52
