Start,End,Energy (kWh)
2017-06-10 00:05:00,2017-06-10 08:38:00,7
2017-06-10 19:23:00,2017-06-12 07:38:00,7.59
2017-06-25 00:05:00,2017-06-25 12:37:00,5.11
2017-06-25 18:33:00,2017-06-26 07:06:00,6.01
2017-06-26 18:56:00,2017-06-27 07:35:00,5.05
2017-06-27 19:01:00,2017-06-28 07:39:00,7.02
2017-06-28 18:54:00,2017-06-29 07:25:00,6.86
2017-06-29 18:49:00,2017-06-30 07:17:00,6.91
2017-06-30 18:35:00,2017-07-01 07:50:00,6.76
2017-07-01 09:36:00,2017-07-01 15:22:00,4
2017-07-01 23:51:00,2017-07-02 08:53:00,5.17
2017-07-02 20:03:00,2017-07-03 07:27:00,6.63
2017-07-03 19:08:00,2017-07-04 07:22:00,6.63
2017-07-04 21:01:00,2017-07-05 07:21:00,6.21
2017-07-05 18:19:00,2017-07-06 07:07:00,6.11
2017-07-06 23:02:00,2017-07-07 07:03:00,6.99
2017-07-07 16:35:00,2017-07-09 11:28:00,7.48
2017-07-09 14:06:00,2017-07-10 07:06:00,3.13
2017-07-10 22:43:00,2017-07-11 07:16:00,6.13
2017-07-11 19:07:00,2017-07-12 07:15:00,7.1
2017-07-12 19:22:00,2017-07-13 08:54:00,6.63
2017-07-13 13:52:00,2017-07-13 14:26:00,2.15
2017-07-13 18:44:00,2017-07-14 09:44:00,6.48
2017-07-14 10:23:00,2017-07-14 12:34:00,3.71
2017-07-14 17:07:00,2017-07-15 08:10:00,2.67
2017-07-15 09:52:00,2017-07-15 12:30:00,4.13
2017-07-15 13:04:00,2017-07-16 15:31:00,7.62
2017-07-16 22:13:00,2017-07-17 07:29:00,3.47
2017-07-18 06:04:00,2017-07-18 07:15:00,4.41
2017-07-18 20:18:00,2017-07-19 07:33:00,6.66
2017-07-19 19:05:00,2017-07-20 07:37:00,5.75
2017-07-20 19:01:00,2017-07-21 07:23:00,6.41
2017-07-21 18:16:00,2017-07-22 08:19:00,7.3
2017-07-22 10:01:00,2017-07-22 14:04:00,4.51
2017-07-22 22:15:00,2017-07-23 11:19:00,6.9
2017-07-23 19:32:00,2017-07-24 07:27:00,3.11
2017-07-24 18:24:00,2017-07-25 07:37:00,6.43
2017-07-25 16:04:00,2017-07-25 17:15:00,4.28
2017-07-25 21:15:00,2017-07-26 07:32:00,4.2
2017-07-26 19:30:00,2017-07-27 06:55:00,6.78
2017-07-27 19:09:00,2017-07-28 07:04:00,5.79
2017-07-28 18:45:00,2017-07-29 10:06:00,6.94
2017-07-29 17:14:00,2017-07-30 16:58:00,3.59
2017-07-30 21:01:00,2017-07-31 07:29:00,4.22
2017-07-31 18:54:00,2017-08-01 07:36:00,6.76
2017-08-01 18:45:00,2017-08-02 07:21:00,6.07
2017-08-02 18:56:00,2017-08-03 07:22:00,6.38
2017-08-03 18:41:00,2017-08-04 06:50:00,6.68
2017-08-04 15:28:00,2017-08-04 16:15:00,2.97
2017-08-04 17:02:00,2017-08-05 12:11:00,7.17
2017-08-05 17:15:00,2017-08-06 09:32:00,4.32
2017-08-06 19:16:00,2017-08-07 07:45:00,6.65
2017-08-07 18:14:00,2017-08-08 07:48:00,5.64
2017-08-08 17:07:00,2017-08-08 17:34:00,1.6
2017-08-08 21:34:00,2017-08-09 07:41:00,7.19
2017-08-09 20:37:00,2017-08-10 07:26:00,7.16
2017-08-10 19:29:00,2017-08-11 07:11:00,5.15
2017-08-11 18:33:00,2017-08-11 19:16:00,2.67
2017-08-11 22:49:00,2017-08-12 09:11:00,4.17
2017-08-12 14:25:00,2017-08-13 15:32:00,6.65
2017-08-13 19:14:00,2017-08-14 08:11:00,2
2017-08-14 19:45:00,2017-08-15 07:49:00,6.06
2017-08-15 19:01:00,2017-08-16 07:28:00,6.77
2017-08-16 20:31:00,2017-08-17 07:52:00,6.67
2017-08-17 20:06:00,2017-08-18 08:06:00,6.94
2017-08-18 09:47:00,2017-08-18 17:13:00,6
2017-08-19 11:02:00,2017-08-19 12:56:00,5.66
2017-08-19 17:00:00,2017-08-21 07:45:00,4.73
2017-08-21 19:00:00,2017-08-21 19:15:00,0.89
2017-08-21 20:31:00,2017-08-22 07:41:00,6.66
2017-08-22 18:40:00,2017-08-23 07:40:00,6.81
2017-08-23 18:49:00,2017-08-24 07:32:00,6.74
2017-08-24 19:09:00,2017-08-24 19:15:00,0.36
2017-08-24 19:31:00,2017-08-25 07:19:00,7.06
2017-08-25 14:44:00,2017-08-25 17:54:00,6.09
2017-08-26 09:04:00,2017-08-26 09:42:00,2.39
2017-08-27 19:26:00,2017-08-28 10:17:00,6.75
2017-08-28 11:50:00,2017-08-28 12:13:00,1.46
2017-08-28 13:44:00,2017-08-28 16:28:00,6.27
2017-08-28 23:10:00,2017-08-29 07:40:00,3.03
2017-08-29 19:11:00,2017-08-30 07:34:00,6.61
2017-08-30 18:33:00,2017-08-31 07:39:00,6.1
2017-08-31 19:10:00,2017-09-01 07:46:00,6.38
2017-09-01 17:37:00,2017-09-01 18:58:00,5.1
2017-09-01 19:11:00,2017-09-02 08:22:00,2.33
2017-09-18 14:28:00,2017-09-18 15:02:00,2.13
2017-09-19 07:40:00,2017-09-19 08:23:00,2.66
2017-09-19 19:40:00,2017-09-20 07:06:00,5.6
2017-09-20 20:20:00,2017-09-20 20:34:00,0.83
2017-09-20 20:36:00,2017-09-21 07:19:00,5.03
2017-09-21 18:55:00,2017-09-22 08:46:00,6.25
2017-09-22 18:01:00,2017-09-23 08:02:00,7.08
2017-09-23 19:31:00,2017-09-24 18:11:00,6.82
2017-09-24 19:19:00,2017-09-25 07:46:00,1.96
2017-09-25 18:59:00,2017-09-26 07:56:00,6.62
2017-09-26 20:17:00,2017-09-27 07:54:00,6.67
2017-09-27 22:46:00,2017-09-28 07:46:00,6.76
2017-09-28 19:38:00,2017-09-29 07:07:00,6.36
2017-09-29 15:49:00,2017-09-29 18:17:00,5.84
2017-09-29 19:42:00,2017-09-30 08:29:00,6.64
2017-10-01 13:20:00,2017-10-02 07:45:00,6.61
2017-10-03 20:22:00,2017-10-04 07:43:00,7.3
2017-10-04 18:22:00,2017-10-04 18:40:00,1.07
2017-10-04 20:44:00,2017-10-05 07:49:00,5.87
2017-10-05 19:04:00,2017-10-06 09:30:00,7.3
2017-10-06 10:44:00,2017-10-06 11:17:00,2.11
2017-10-06 11:38:00,2017-10-10 07:54:00,10.11
2017-10-10 19:02:00,2017-10-11 07:47:00,5.76
2017-10-11 18:54:00,2017-10-12 07:41:00,7.71
2017-10-12 19:05:00,2017-10-13 08:10:00,6.77
2017-10-13 09:29:00,2017-10-13 10:03:00,1.84
2017-10-16 19:03:00,2017-10-17 07:54:00,6.14
2017-10-17 19:39:00,2017-10-18 09:41:00,6.15
2017-10-18 13:06:00,2017-10-18 13:53:00,2.95
2017-10-18 18:58:00,2017-10-19 07:45:00,5.93
2017-10-20 17:20:00,2017-10-21 11:09:00,7.02
2017-10-21 17:17:00,2017-10-22 11:47:00,6.34
2017-10-22 22:06:00,2017-10-23 07:20:00,2.04
2017-10-23 17:11:00,2017-10-24 07:44:00,6.67
2017-10-24 18:22:00,2017-10-25 07:42:00,7.04
2017-10-26 18:53:00,2017-10-27 07:52:00,7.29
2017-10-27 17:03:00,2017-10-28 08:20:00,7.85
2017-10-28 16:55:00,2017-10-29 14:17:00,6.07
2017-10-30 18:58:00,2017-10-31 07:28:00,7.1
2017-11-01 18:43:00,2017-11-02 07:37:00,7.27
2017-11-02 19:26:00,2017-11-03 07:40:00,7.14
2017-11-03 18:12:00,2017-11-03 19:12:00,3.61
2017-11-03 19:16:00,2017-11-04 08:46:00,4.04
2017-11-04 14:57:00,2017-11-04 17:03:00,4.58
2017-11-04 22:18:00,2017-11-06 07:47:00,9.53
2017-11-06 19:12:00,2017-11-07 07:49:00,7.04
2017-11-07 19:35:00,2017-11-08 07:50:00,8.12
2017-11-08 18:48:00,2017-11-09 07:41:00,7.56
2017-11-09 19:23:00,2017-11-10 09:14:00,6.95
2017-11-10 22:27:00,2017-11-11 08:05:00,7.13
2017-11-11 16:29:00,2017-11-11 19:25:00,6.06
2017-11-11 23:35:00,2017-11-13 07:53:00,6.82
2017-11-13 18:58:00,2017-11-14 07:31:00,7.44
2017-11-14 18:19:00,2017-11-15 07:42:00,6.99
2017-11-15 18:56:00,2017-11-16 10:07:00,6.74
2017-11-16 12:37:00,2017-11-16 19:14:00,6.11
2017-11-16 19:30:00,2017-11-17 07:26:00,3.64
2017-11-17 19:22:00,2017-11-17 20:24:00,3.84
2017-11-17 23:41:00,2017-11-20 07:39:00,6.53
2017-11-20 18:59:00,2017-11-21 07:36:00,6.91
2017-11-21 19:50:00,2017-11-22 07:39:00,6.69
2017-11-22 19:07:00,2017-11-23 07:54:00,6.25
2017-11-23 19:53:00,2017-11-24 08:03:00,7.12
2017-11-24 18:20:00,2017-11-25 07:55:00,8.14
2017-11-25 09:41:00,2017-11-25 12:56:00,5
2017-11-25 14:44:00,2017-11-26 13:05:00,3.52
2017-11-26 18:21:00,2017-11-27 07:41:00,7.69
2017-11-27 19:01:00,2017-11-28 07:42:00,7.85
2017-11-28 19:40:00,2017-11-29 08:02:00,8.32
2017-11-29 18:39:00,2017-11-30 07:41:00,8.7
2017-11-30 18:58:00,2017-12-01 07:48:00,8.58
2017-12-01 17:56:00,2017-12-02 09:37:00,8
2017-12-02 11:12:00,2017-12-02 18:40:00,5.45
2017-12-03 00:12:00,2017-12-03 15:10:00,2.46
2017-12-03 21:08:00,2017-12-04 07:43:00,4.65
2017-12-04 18:56:00,2017-12-05 07:35:00,7.9
2017-12-05 19:38:00,2017-12-06 07:46:00,7.33
2017-12-06 18:50:00,2017-12-07 06:45:00,5.78
2017-12-07 13:21:00,2017-12-07 15:18:00,6.19
2017-12-07 16:17:00,2017-12-07 16:46:00,1.56
2017-12-09 21:05:00,2017-12-11 14:39:00,10.57
2017-12-11 17:07:00,2017-12-12 08:19:00,8.77
2017-12-12 18:14:00,2017-12-13 07:29:00,6.29
2017-12-13 19:37:00,2017-12-14 07:44:00,7.83
2017-12-14 19:11:00,2017-12-15 09:06:00,7.52
2017-12-15 10:26:00,2017-12-15 14:47:00,4.11
2017-12-15 15:44:00,2017-12-16 11:03:00,5.28
2017-12-16 16:31:00,2017-12-18 07:42:00,10.52
2017-12-18 19:03:00,2017-12-18 19:25:00,1.28
2017-12-18 19:53:00,2017-12-19 07:42:00,7.76
2017-12-19 18:59:00,2017-12-20 07:53:00,6.78
2017-12-20 18:04:00,2017-12-20 18:39:00,2.07
2017-12-20 19:00:00,2017-12-21 08:08:00,5.54
2017-12-21 19:00:00,2017-12-22 08:17:00,7.3
2017-12-22 16:54:00,2017-12-22 18:06:00,4.29
2017-12-22 18:28:00,2017-12-23 07:48:00,3.44
2017-12-23 16:41:00,2017-12-23 20:36:00,4.94
2017-12-23 20:49:00,2017-12-24 11:13:00,2.6
2017-12-24 15:07:00,2017-12-27 10:34:00,9.43
2017-12-27 11:34:00,2017-12-27 11:53:00,1.12
2017-12-27 12:13:00,2017-12-27 14:14:00,4.9
2017-12-27 15:19:00,2017-12-28 12:05:00,7.55
2017-12-28 16:45:00,2017-12-28 17:04:00,1.12
2017-12-28 18:49:00,2017-12-29 09:02:00,8.44
2017-12-29 10:06:00,2017-12-30 08:43:00,5.37
2018-01-02 20:05:00,2018-01-03 07:58:00,7.82
2018-01-03 18:38:00,2018-01-04 07:47:00,7.8
2018-01-04 18:25:00,2018-01-04 19:20:00,3.26
2018-01-04 21:39:00,2018-01-05 07:37:00,7.68
2018-01-05 17:34:00,2018-01-06 10:31:00,7.91
2018-01-06 12:27:00,2018-01-06 14:56:00,3.83
2018-01-06 16:50:00,2018-01-08 07:39:00,9.02
2018-01-08 19:00:00,2018-01-09 07:38:00,6.99
2018-01-09 19:05:00,2018-01-10 07:32:00,7.17
2018-01-10 19:06:00,2018-01-10 19:43:00,2.19
2018-01-10 21:15:00,2018-01-11 07:37:00,7.84
2018-01-11 18:33:00,2018-01-12 07:28:00,7.31
2018-01-12 17:37:00,2018-01-12 18:15:00,2.28
2018-01-12 19:30:00,2018-01-13 09:01:00,6.5
2018-01-14 11:05:00,2018-01-14 12:32:00,5.22
2018-01-14 14:17:00,2018-01-14 15:18:00,2.79
2018-01-14 15:50:00,2018-01-15 07:52:00,2.26
2018-01-15 18:57:00,2018-01-16 07:36:00,7.73
2018-01-16 18:20:00,2018-01-17 07:46:00,7.92
2018-01-17 13:39:00,2018-01-19 07:47:00,9.9
2018-01-19 09:36:00,2018-01-19 13:16:00,5.13
2018-01-19 15:11:00,2018-01-21 12:00:00,8.91
2018-01-22 20:38:00,2018-01-24 08:07:00,7.53
2018-01-24 18:55:00,2018-01-25 08:26:00,7.8
2018-01-25 19:13:00,2018-01-26 07:58:00,7.53
2018-01-26 18:19:00,2018-01-27 10:40:00,7.61
2018-01-27 17:05:00,2018-01-27 17:41:00,2.17
2018-01-27 20:30:00,2018-01-29 07:53:00,8.03
2018-01-29 18:57:00,2018-01-30 07:56:00,8.05
2018-01-30 19:32:00,2018-01-31 07:27:00,7.39
2018-01-31 18:33:00,2018-02-01 07:40:00,7.62
2018-02-01 19:05:00,2018-02-02 07:59:00,7.88
2018-02-02 17:54:00,2018-02-03 14:48:00,7.73
2018-02-03 17:55:00,2018-02-04 19:49:00,8.27
2018-02-04 20:05:00,2018-02-05 07:50:00,3.11
2018-02-05 19:39:00,2018-02-06 07:31:00,8.59
2018-02-06 18:44:00,2018-02-07 07:53:00,8.28
2018-02-07 18:50:00,2018-02-07 19:35:00,2.71
2018-02-07 22:50:00,2018-02-08 07:46:00,8.5
2018-02-08 19:07:00,2018-02-09 07:51:00,7.84
2018-02-09 17:27:00,2018-02-10 16:12:00,8.01
2018-02-10 18:03:00,2018-02-11 11:27:00,7.02
2018-02-11 14:03:00,2018-02-12 07:36:00,6.27
2018-02-12 18:59:00,2018-02-13 07:41:00,7.47
2018-02-13 19:47:00,2018-02-14 07:52:00,8.64
2018-02-14 18:54:00,2018-02-15 07:39:00,7.42
2018-02-15 18:57:00,2018-02-16 07:51:00,8.38
2018-02-16 10:46:00,2018-02-16 11:22:00,2.22
2018-02-16 15:58:00,2018-02-17 09:59:00,7.66
2018-02-18 16:30:00,2018-02-19 07:43:00,1.47
2018-02-19 18:33:00,2018-02-20 08:04:00,7.41
2018-02-20 19:03:00,2018-02-21 07:35:00,7.21
2018-02-21 18:44:00,2018-02-22 07:50:00,7.63
2018-02-22 18:56:00,2018-02-23 07:42:00,8.21
2018-02-23 18:02:00,2018-02-23 19:01:00,3.39
2018-02-23 22:45:00,2018-02-24 10:54:00,8.49
2018-02-24 11:23:00,2018-02-25 14:52:00,6.32
2018-02-25 17:38:00,2018-02-26 07:38:00,6.44
2018-02-26 18:59:00,2018-02-27 07:45:00,8.36
2018-02-27 19:00:00,2018-02-28 07:56:00,6.92
2018-02-28 18:23:00,2018-03-03 13:36:00,11.02
2018-03-03 15:24:00,2018-03-04 12:41:00,6.79
2018-03-04 13:12:00,2018-03-04 17:14:00,3.27
2018-03-04 17:40:00,2018-03-05 07:39:00,4.82
2018-03-05 18:54:00,2018-03-06 08:03:00,7.46
2018-03-06 19:32:00,2018-03-07 07:37:00,7.71
2018-03-07 17:29:00,2018-03-07 18:05:00,2.04
2018-03-07 18:50:00,2018-03-08 07:43:00,7.7
2018-03-08 19:39:00,2018-03-09 07:46:00,8.01
2018-03-09 15:09:00,2018-03-09 16:03:00,3.35
2018-03-09 18:48:00,2018-03-10 08:06:00,6.73
2018-03-10 09:46:00,2018-03-10 11:38:00,3.47
2018-03-10 13:34:00,2018-03-10 15:11:00,5.97
2018-03-10 21:55:00,2018-03-11 13:42:00,7.14
2018-03-11 13:56:00,2018-03-12 07:51:00,1.79
2018-03-12 19:02:00,2018-03-13 07:40:00,7.3
2018-03-13 18:54:00,2018-03-14 08:07:00,6.7
2018-03-14 08:56:00,2018-03-18 16:28:00,8.35
2018-03-18 17:01:00,2018-03-19 07:38:00,3.79
2018-03-19 19:17:00,2018-03-20 08:00:00,7.33
2018-03-20 19:33:00,2018-03-21 07:45:00,8.03
2018-03-21 18:29:00,2018-03-21 18:57:00,1.49
2018-03-21 22:55:00,2018-03-22 07:34:00,7.25
2018-03-22 19:05:00,2018-03-22 19:22:00,1.02
2018-03-22 19:30:00,2018-03-23 07:25:00,6.18
2018-03-23 17:55:00,2018-03-24 08:15:00,7.13
2018-03-24 10:30:00,2018-03-24 11:21:00,3.08
2018-03-24 13:42:00,2018-03-25 18:36:00,7.68
2018-03-25 18:57:00,2018-03-26 07:37:00,2.69
2018-03-26 18:58:00,2018-03-27 07:25:00,7.26
2018-03-27 19:32:00,2018-03-28 08:12:00,7.37
2018-03-28 19:00:00,2018-03-29 07:58:00,7.77
2018-03-29 08:48:00,2018-03-30 08:45:00,8
2018-04-02 20:21:00,2018-04-03 07:34:00,6.81
2018-04-03 18:50:00,2018-04-04 07:48:00,6.79
2018-04-04 19:00:00,2018-04-05 07:39:00,8.09
2018-04-06 18:09:00,2018-04-06 18:46:00,2.12
2018-04-06 23:00:00,2018-04-07 18:38:00,6.32
2018-04-07 18:52:00,2018-04-07 19:34:00,1.98
2018-04-07 19:52:00,2018-04-07 22:52:00,0.56
2018-04-07 23:06:00,2018-04-08 08:49:00,1.27
2018-04-08 08:51:00,2018-04-08 11:21:00,2.55
2018-04-08 12:05:00,2018-04-08 18:55:00,3.7
2018-04-09 19:03:00,2018-04-10 07:41:00,7.6
2018-04-10 18:32:00,2018-04-11 07:35:00,7.42
2018-04-11 18:18:00,2018-04-12 07:46:00,7.27
2018-04-12 19:01:00,2018-04-13 08:00:00,7.43
2018-04-13 18:14:00,2018-04-14 11:50:00,6.17
2018-04-14 14:15:00,2018-04-15 11:40:00,6.7
2018-04-15 15:18:00,2018-04-15 16:37:00,4.8
2018-04-15 18:55:00,2018-04-15 23:07:00,1.71
2018-04-15 23:09:00,2018-04-16 07:19:00,1.32
2018-04-16 19:03:00,2018-04-16 19:18:00,0.91
2018-04-16 20:39:00,2018-04-17 07:32:00,6.62
2018-04-17 19:51:00,2018-04-18 07:38:00,6.65
2018-04-18 17:49:00,2018-04-19 07:34:00,6.61
2018-04-19 19:13:00,2018-04-20 09:43:00,6.92
2018-04-20 11:47:00,2018-04-20 12:13:00,1.58
2018-04-20 13:30:00,2018-04-20 16:30:00,4.62
2018-04-20 17:54:00,2018-04-21 07:20:00,4.05
2018-04-21 08:17:00,2018-04-21 15:58:00,3.38
2018-04-21 17:38:00,2018-04-22 11:38:00,7.06
2018-04-22 11:54:00,2018-04-23 07:06:00,1.53
2018-04-23 18:59:00,2018-04-24 07:46:00,6.85
2018-04-24 19:38:00,2018-04-25 07:20:00,7.05
