Start,End,Energy (kWh)
2017-09-05 16:34:00,2017-09-06 07:36:00,11.29
2017-09-06 13:06:00,2017-09-06 14:53:00,5.96
2017-09-06 19:01:00,2017-09-07 07:40:00,8.99
2017-09-07 16:10:00,2017-09-07 19:26:00,4.33
2017-09-08 17:27:00,2017-09-08 22:01:00,11.91
2017-09-09 12:59:00,2017-09-09 13:39:00,2.21
2017-09-09 15:30:00,2017-09-09 19:34:00,11.46
2017-09-10 14:34:00,2017-09-10 15:35:00,1.19
2017-09-10 16:16:00,2017-09-10 16:43:00,1.03
2017-09-11 16:16:00,2017-09-11 18:51:00,8.65
2017-09-11 19:42:00,2017-09-12 07:39:00,10.19
2017-09-12 08:32:00,2017-09-12 09:29:00,3.18
2017-09-12 16:06:00,2017-09-12 16:37:00,1.75
2017-09-12 17:39:00,2017-09-13 07:48:00,11.96
2017-09-13 16:23:00,2017-09-13 18:08:00,5.83
2017-09-13 20:14:00,2017-09-14 07:31:00,11.39
2017-09-14 17:07:00,2017-09-15 07:26:00,11.93
2017-09-15 16:44:00,2017-09-15 18:55:00,7.28
2017-09-15 23:29:00,2017-09-16 10:13:00,2.49
2017-09-16 15:13:00,2017-09-16 16:51:00,5.45
2017-09-16 21:27:00,2017-09-17 16:12:00,10.31
2017-09-18 15:17:00,2017-09-18 15:27:00,0.53
2017-09-18 16:19:00,2017-09-19 07:43:00,11.97
2017-09-19 16:08:00,2017-09-19 18:28:00,7.82
2017-09-19 19:03:00,2017-09-20 07:29:00,6.45
2017-09-20 17:13:00,2017-09-20 18:39:00,4.76
2017-09-20 20:16:00,2017-09-21 07:37:00,7.84
2017-09-21 17:24:00,2017-09-22 07:23:00,11.57
2017-09-22 14:15:00,2017-09-22 15:10:00,3.09
2017-09-23 21:02:00,2017-09-24 09:50:00,9.3
2017-09-24 16:11:00,2017-09-25 07:39:00,11.47
2017-09-25 16:18:00,2017-09-25 17:35:00,4.27
2017-09-25 19:32:00,2017-09-26 07:20:00,7.79
2017-09-26 15:46:00,2017-09-26 16:38:00,2.91
2017-09-26 17:54:00,2017-09-26 18:50:00,3.13
2017-09-26 21:03:00,2017-09-27 07:29:00,11.09
2017-09-27 17:55:00,2017-09-27 18:40:00,2.48
2017-09-27 20:19:00,2017-09-28 07:38:00,12.14
2017-09-28 16:45:00,2017-09-29 07:32:00,12.68
2017-09-29 16:27:00,2017-09-29 19:45:00,7.27
2017-09-29 19:59:00,2017-09-30 10:33:00,1.2
2017-09-30 14:42:00,2017-09-30 18:25:00,12.07
2017-09-30 20:29:00,2017-10-01 17:02:00,4.78
2017-10-02 16:09:00,2017-10-03 08:03:00,12.56
2017-10-03 13:44:00,2017-10-03 16:20:00,8.7
2017-10-03 17:05:00,2017-10-04 07:41:00,7.51
2017-10-04 16:41:00,2017-10-05 07:43:00,12.72
2017-10-05 17:28:00,2017-10-05 18:44:00,4.19
2017-10-05 20:54:00,2017-10-06 07:23:00,10.82
2017-10-06 16:08:00,2017-10-07 10:01:00,11.78
2017-10-07 12:24:00,2017-10-07 13:31:00,3.71
2017-10-07 16:41:00,2017-10-08 08:47:00,11.61
2017-10-08 20:16:00,2017-10-09 07:30:00,11.47
2017-10-09 17:02:00,2017-10-10 07:42:00,11.61
2017-10-10 16:46:00,2017-10-10 20:28:00,12.28
2017-10-10 20:55:00,2017-10-11 07:39:00,0.02
2017-10-11 17:18:00,2017-10-11 18:41:00,4.65
2017-10-11 20:29:00,2017-10-12 07:38:00,12.08
2017-10-12 15:50:00,2017-10-12 16:10:00,1.11
2017-10-12 17:11:00,2017-10-13 07:32:00,11.42
2017-10-13 16:07:00,2017-10-13 16:24:00,0.93
2017-10-13 21:36:00,2017-10-15 10:06:00,11.5
2017-10-15 15:29:00,2017-10-16 07:37:00,12
2017-10-16 17:04:00,2017-10-17 07:36:00,12.14
2017-10-17 17:39:00,2017-10-17 17:51:00,0.69
2017-10-17 18:21:00,2017-10-17 19:56:00,5.29
2017-10-17 20:23:00,2017-10-18 07:42:00,10.59
2017-10-18 16:38:00,2017-10-18 18:41:00,6.88
2017-10-18 20:19:00,2017-10-19 07:53:00,9.63
2017-10-19 15:33:00,2017-10-19 16:19:00,2.56
2017-10-19 17:18:00,2017-10-20 07:31:00,11.53
2017-10-20 16:22:00,2017-10-21 14:09:00,11.88
2017-10-22 15:48:00,2017-10-23 09:18:00,11.66
2017-10-23 12:40:00,2017-10-24 09:38:00,7.91
2017-10-24 17:09:00,2017-10-26 09:36:00,9.95
2017-10-26 12:40:00,2017-10-27 09:01:00,12.63
2017-10-27 11:44:00,2017-10-27 14:01:00,7.61
2017-10-29 16:14:00,2017-10-30 07:41:00,13.4
2017-10-30 15:33:00,2017-10-31 07:36:00,10.51
2017-10-31 20:24:00,2017-11-01 07:40:00,6.82
2017-11-01 16:22:00,2017-11-01 18:14:00,6.22
2017-11-01 20:20:00,2017-11-02 07:43:00,11.32
2017-11-02 14:21:00,2017-11-02 16:21:00,6.67
2017-11-02 16:39:00,2017-11-04 10:11:00,4.52
2017-11-04 20:39:00,2017-11-05 09:49:00,5.3
2017-11-05 11:25:00,2017-11-05 18:34:00,5.97
2017-11-05 20:19:00,2017-11-06 07:39:00,7.05
2017-11-06 16:08:00,2017-11-07 07:47:00,11.43
2017-11-07 16:34:00,2017-11-08 07:46:00,12.22
2017-11-08 16:59:00,2017-11-08 18:13:00,4.07
2017-11-08 20:21:00,2017-11-09 07:12:00,12.18
2017-11-09 17:21:00,2017-11-10 07:10:00,12.38
2017-11-10 14:50:00,2017-11-10 15:37:00,2.58
2017-11-11 15:23:00,2017-11-11 18:00:00,8.74
2017-11-12 14:31:00,2017-11-12 19:35:00,9.8
2017-11-13 08:43:00,2017-11-13 09:04:00,1.11
2017-11-13 11:39:00,2017-11-13 15:06:00,11.43
2017-11-13 16:13:00,2017-11-14 07:08:00,7.47
2017-11-14 17:25:00,2017-11-14 19:03:00,5.41
2017-11-14 21:26:00,2017-11-15 07:41:00,11.66
2017-11-15 16:29:00,2017-11-15 16:43:00,0.75
2017-11-15 17:14:00,2017-11-15 18:19:00,3.64
2017-11-15 18:20:00,2017-11-15 18:38:00,0.96
2017-11-15 20:29:00,2017-11-16 07:40:00,11.45
2017-11-16 17:16:00,2017-11-17 07:09:00,12.59
2017-11-17 17:25:00,2017-11-18 09:00:00,9.95
2017-11-19 17:08:00,2017-11-20 07:42:00,6.61
2017-11-20 15:58:00,2017-11-21 07:13:00,12.53
2017-11-21 17:19:00,2017-11-21 17:41:00,1.22
2017-11-21 19:43:00,2017-11-22 07:43:00,11.84
2017-11-22 10:26:00,2017-11-22 15:19:00,9.18
2017-11-22 16:38:00,2017-11-23 07:40:00,5.29
2017-11-23 17:03:00,2017-11-24 07:20:00,10.31
2017-11-24 15:49:00,2017-11-25 09:11:00,11.12
2017-11-25 10:45:00,2017-11-25 12:40:00,5.79
2017-11-25 18:44:00,2017-11-25 19:16:00,1.75
2017-11-25 19:34:00,2017-11-27 07:40:00,13.06
2017-11-27 16:16:00,2017-11-28 07:23:00,11.91
2017-11-28 16:28:00,2017-11-29 07:43:00,11.54
2017-11-29 16:08:00,2017-11-29 18:44:00,8.62
2017-11-29 20:21:00,2017-11-30 07:19:00,8.52
2017-11-30 17:21:00,2017-12-01 07:31:00,12.5
2017-12-01 13:40:00,2017-12-01 16:22:00,8.99
2017-12-01 18:14:00,2017-12-04 07:42:00,13.72
2017-12-04 16:05:00,2017-12-05 07:43:00,12.17
2017-12-05 14:12:00,2017-12-05 15:01:00,2.68
2017-12-05 21:15:00,2017-12-06 07:42:00,11.81
2017-12-06 16:01:00,2017-12-07 07:41:00,12.17
2017-12-07 15:21:00,2017-12-07 16:21:00,3.34
2017-12-07 17:29:00,2017-12-08 07:14:00,11.78
2017-12-08 18:01:00,2017-12-09 09:41:00,12.37
2017-12-09 22:29:00,2017-12-10 10:08:00,9.48
2017-12-10 15:35:00,2017-12-11 07:43:00,7.61
2017-12-11 19:18:00,2017-12-12 07:51:00,4.91
2017-12-12 08:28:00,2017-12-12 14:32:00,8.02
