Start,End,Energy (kWh)
2017-08-02 21:20:00,2017-08-03 07:37:00,52.41
2017-08-03 19:01:00,2017-08-04 07:19:00,20.23
2017-08-04 15:04:00,2017-08-04 17:06:00,8.88
2017-08-06 16:13:00,2017-08-07 07:29:00,14.21
2017-08-07 18:30:00,2017-08-08 07:23:00,22.45
2017-08-08 18:39:00,2017-08-09 08:03:00,18.51
2017-08-09 18:56:00,2017-08-10 07:26:00,18.6
2017-08-10 18:58:00,2017-08-11 07:40:00,20.48
2017-08-11 15:03:00,2017-08-11 19:48:00,25.69
2017-08-11 23:17:00,2017-08-12 19:02:00,11.82
2017-08-12 23:31:00,2017-08-13 08:22:00,13.69
2017-08-13 17:09:00,2017-08-14 06:59:00,36.41
2017-08-14 18:33:00,2017-08-15 07:48:00,16.75
2017-08-15 17:10:00,2017-08-16 07:24:00,17.38
2017-08-16 19:02:00,2017-08-17 07:13:00,22.22
2017-08-17 19:01:00,2017-08-18 08:23:00,21.22
2017-08-18 15:05:00,2017-08-18 16:52:00,13.65
2017-08-18 18:22:00,2017-08-18 22:05:00,12.73
2017-08-18 23:37:00,2017-08-19 11:06:00,27.32
2017-08-27 01:35:00,2017-08-27 09:28:00,38.88
2017-08-27 10:40:00,2017-08-27 13:55:00,14.41
2017-08-27 19:39:00,2017-08-27 20:17:00,4.78
2017-08-27 23:35:00,2017-08-28 13:56:00,14.41
2017-08-28 20:43:00,2017-08-29 07:25:00,30.23
2017-08-29 17:03:00,2017-08-30 07:15:00,19.07
2017-08-30 18:16:00,2017-08-31 07:18:00,21.01
2017-08-31 18:54:00,2017-09-01 07:24:00,10.7
2017-09-16 23:37:00,2017-09-17 14:14:00,13.42
2017-09-17 15:25:00,2017-09-18 07:14:00,7.73
2017-09-18 18:37:00,2017-09-19 07:27:00,18.14
2017-09-19 18:41:00,2017-09-20 07:47:00,19.45
2017-09-21 19:10:00,2017-09-22 07:34:00,18.16
2017-09-22 15:05:00,2017-09-22 16:13:00,8.8
2017-09-24 21:15:00,2017-09-25 07:43:00,46
2017-09-25 18:32:00,2017-09-26 07:06:00,17.04
2017-09-26 18:44:00,2017-09-27 07:25:00,15.56
2017-09-27 21:07:00,2017-09-28 07:24:00,29.93
2017-09-28 19:05:00,2017-09-29 07:16:00,22.79
2017-09-29 15:09:00,2017-09-29 16:45:00,12.26
2017-09-29 18:35:00,2017-09-29 20:32:00,14.71
2017-09-29 21:49:00,2017-09-30 07:10:00,11.53
2017-09-30 07:19:00,2017-09-30 07:21:00,0.1
2017-10-01 16:12:00,2017-10-01 16:13:00,0.08
2017-10-01 16:17:00,2017-10-01 18:08:00,14.15
2017-10-01 21:34:00,2017-10-01 22:51:00,9.78
2017-10-02 18:33:00,2017-10-02 22:54:00,32.54
2017-10-03 19:58:00,2017-10-04 07:23:00,33.76
2017-10-04 21:26:00,2017-10-05 07:14:00,32.3
2017-10-05 19:10:00,2017-10-06 07:44:00,19.84
2017-10-06 15:33:00,2017-10-07 12:42:00,17.95
2017-10-07 13:43:00,2017-10-07 14:08:00,3.03
2017-10-07 16:40:00,2017-10-07 19:03:00,18
2017-10-07 19:22:00,2017-10-08 12:54:00,6.35
2017-10-09 18:41:00,2017-10-10 07:30:00,35.52
2017-10-10 18:33:00,2017-10-11 08:16:00,20.93
2017-10-11 20:17:00,2017-10-12 04:41:00,23.52
2017-11-21 18:38:00,2017-11-22 07:21:00,21.23
2017-11-22 20:57:00,2017-11-23 07:19:00,19.17
2017-11-23 19:01:00,2017-11-24 08:39:00,25.17
2017-11-24 15:32:00,2017-11-25 11:27:00,28.8
2017-11-25 12:33:00,2017-11-25 18:23:00,22.45
2017-11-25 18:42:00,2017-11-26 11:07:00,3.53
2017-11-26 22:35:00,2017-11-27 07:25:00,39.92
2017-11-28 18:04:00,2017-11-29 07:31:00,25.32
2017-11-29 19:35:00,2017-11-30 07:49:00,47.67
2017-12-29 13:01:00,2017-12-30 12:51:00,13.89
2017-12-30 16:52:00,2017-12-30 19:22:00,17.41
2017-12-30 22:00:00,2017-12-31 12:59:00,5.22
2017-12-31 13:22:00,2018-01-02 07:18:00,7.87
2018-01-02 18:44:00,2018-01-03 07:21:00,24.09
2018-01-05 15:16:00,2018-01-06 13:29:00,48.97
2018-01-07 14:08:00,2018-01-08 07:27:00,29.04
2018-01-08 18:50:00,2018-01-09 06:35:00,26.58
2018-01-09 18:40:00,2018-01-10 07:12:00,27.16
2018-01-10 19:17:00,2018-01-11 07:49:00,31.91
2018-01-11 18:47:00,2018-01-12 08:39:00,44.16
2018-01-12 15:03:00,2018-01-12 15:39:00,4.31
2018-01-14 18:52:00,2018-01-15 07:04:00,42.15
2018-01-15 18:42:00,2018-01-16 06:31:00,22.58
2018-01-16 18:33:00,2018-01-17 07:17:00,18.64
2018-01-17 19:06:00,2018-01-18 06:33:00,23.34
2018-01-18 19:11:00,2018-01-19 08:18:00,24.62
2018-01-19 15:06:00,2018-01-19 21:12:00,23.28
2018-01-20 16:12:00,2018-01-21 13:04:00,34.54
2018-01-21 15:00:00,2018-01-21 19:35:00,16.99
2018-01-21 21:19:00,2018-01-22 07:25:00,29.38
2018-01-22 18:31:00,2018-01-23 06:35:00,21.2
2018-01-23 18:33:00,2018-01-24 07:53:00,22.17
2018-01-24 19:08:00,2018-01-25 07:55:00,25.96
2018-01-25 19:03:00,2018-01-26 07:08:00,26.31
2018-01-26 15:02:00,2018-01-27 18:38:00,22.51
2018-01-27 18:55:00,2018-01-29 07:00:00,3.7
2018-01-29 18:40:00,2018-01-30 06:31:00,20.9
2018-01-30 18:37:00,2018-01-30 21:03:00,18.16
2018-01-30 21:16:00,2018-01-31 08:01:00,7.95
2018-01-31 21:42:00,2018-02-01 07:43:00,41.63
2018-02-01 19:07:00,2018-02-02 07:53:00,25.7
2018-02-02 15:39:00,2018-02-03 11:35:00,30.19
2018-02-03 14:40:00,2018-02-04 14:44:00,28.71
2018-02-04 17:39:00,2018-02-05 07:01:00,14.59
2018-02-05 18:32:00,2018-02-06 07:27:00,24.53
2018-02-06 18:32:00,2018-02-06 18:53:00,2.59
2018-02-06 19:45:00,2018-02-07 07:16:00,36.78
2018-02-07 19:09:00,2018-02-08 07:05:00,25.08
2018-02-08 18:59:00,2018-02-09 07:07:00,26.77
2018-02-18 13:21:00,2018-02-19 07:05:00,25.25
2018-02-19 17:46:00,2018-02-20 07:08:00,20.29
2018-02-20 18:00:00,2018-02-21 07:10:00,19.52
2018-02-21 19:11:00,2018-02-22 07:36:00,25.17
2018-02-22 18:54:00,2018-02-23 08:27:00,27.97
2018-02-23 16:54:00,2018-02-24 12:01:00,31.96
