Start,End,Energy (kWh)
2017-07-12 11:43:00,2017-07-12 11:43:00,0.01
2017-07-12 14:34:00,2017-07-12 16:08:00,3.68
2017-07-12 16:31:00,2017-07-12 18:00:00,1.08
2017-07-12 21:16:00,2017-07-13 08:05:00,2.55
2017-07-13 17:40:00,2017-07-14 08:05:00,6.96
2017-07-15 20:36:00,2017-07-16 06:31:00,4.4
2017-07-16 19:39:00,2017-07-17 09:24:00,2.05
2017-07-17 22:00:00,2017-07-18 06:38:00,7.03
2017-07-18 23:09:00,2017-07-19 08:14:00,7.25
2017-07-19 18:58:00,2017-07-20 07:01:00,6.56
2017-07-20 22:13:00,2017-07-25 06:28:00,6.89
2017-07-25 23:07:00,2017-07-26 10:08:00,7.06
2017-07-26 16:58:00,2017-07-27 06:36:00,6.8
2017-07-28 19:08:00,2017-07-29 17:21:00,6.8
2017-07-29 21:53:00,2017-07-30 17:21:00,2.85
2017-07-30 23:20:00,2017-07-31 09:46:00,3.87
2017-07-31 22:52:00,2017-08-01 06:29:00,6.61
2017-08-01 20:32:00,2017-08-02 10:32:00,7.24
2017-08-02 17:45:00,2017-08-03 10:45:00,6.96
2017-08-04 12:10:00,2017-08-04 15:23:00,6.48
2017-08-04 16:34:00,2017-08-04 18:44:00,5
2017-08-04 23:35:00,2017-08-05 06:35:00,4.06
2017-08-05 19:25:00,2017-08-06 08:51:00,3.57
2017-08-30 11:59:00,2017-08-30 16:38:00,2.96
2017-08-30 18:13:00,2017-08-31 08:19:00,2.26
2017-08-31 19:07:00,2017-09-01 08:14:00,7.18
2017-09-03 17:47:00,2017-09-04 06:41:00,7.06
2017-09-04 20:03:00,2017-09-05 16:10:00,7.28
2017-09-05 17:22:00,2017-09-06 06:38:00,3.23
2017-09-06 20:22:00,2017-09-06 21:32:00,2.91
2017-09-07 18:49:00,2017-09-08 08:24:00,7.12
2017-09-08 21:20:00,2017-09-09 06:45:00,6.94
2017-09-10 08:02:00,2017-09-11 06:43:00,6.51
2017-09-11 19:49:00,2017-09-12 08:55:00,7.22
2017-09-12 21:45:00,2017-09-13 06:40:00,3.99
2017-09-13 19:45:00,2017-09-14 08:18:00,2.96
2017-09-14 14:31:00,2017-09-14 15:18:00,2.77
2017-09-14 19:31:00,2017-09-15 08:12:00,6.84
2017-09-15 20:18:00,2017-09-16 12:53:00,5.06
2017-09-27 19:39:00,2017-09-28 08:10:00,5.64
2017-09-28 20:36:00,2017-09-29 08:35:00,7.31
2017-10-02 19:12:00,2017-10-04 06:37:00,3.28
2017-10-04 19:18:00,2017-10-05 08:11:00,3.07
2017-10-05 21:11:00,2017-10-06 08:10:00,5.47
2017-10-06 17:45:00,2017-10-07 15:05:00,7.14
2017-10-10 23:49:00,2017-10-11 18:07:00,6.65
2017-10-11 20:45:00,2017-10-12 08:20:00,6.72
2017-10-12 18:53:00,2017-10-12 19:29:00,2.11
2017-10-12 20:02:00,2017-10-13 08:18:00,7.06
2017-10-13 20:12:00,2017-10-14 06:15:00,7.04
2017-10-14 19:39:00,2017-10-14 20:13:00,1.98
2017-10-14 21:42:00,2017-10-15 06:19:00,6.59
2017-10-15 19:56:00,2017-10-16 09:18:00,3.39
2017-10-16 17:02:00,2017-10-17 06:34:00,2.08
2017-10-17 19:42:00,2017-10-18 08:18:00,3.38
2017-10-18 18:04:00,2017-10-20 08:15:00,6.76
2017-10-20 19:10:00,2017-10-23 10:12:00,6.67
2017-10-23 16:36:00,2017-10-24 06:25:00,7.09
2017-10-24 19:26:00,2017-10-25 06:32:00,2.91
2017-10-25 23:52:00,2017-10-26 08:20:00,3
2017-10-27 17:03:00,2017-10-27 17:54:00,1.99
2017-10-27 18:24:00,2017-10-30 14:08:00,6.33
2017-10-31 17:02:00,2017-10-31 18:56:00,5.46
2017-10-31 22:15:00,2017-11-01 06:21:00,6.97
2017-11-01 19:40:00,2017-11-02 08:35:00,7.15
2017-11-02 18:53:00,2017-11-03 08:36:00,6.95
2017-11-03 18:44:00,2017-11-04 09:07:00,7.04
2017-11-04 15:16:00,2017-11-07 10:06:00,4.42
2017-11-07 16:41:00,2017-11-08 02:30:00,6.99
2017-11-08 19:37:00,2017-11-09 08:27:00,7.58
2017-11-09 19:10:00,2017-11-10 08:29:00,7.2
2017-11-10 18:28:00,2017-11-14 06:19:00,7.18
2017-11-14 19:44:00,2017-11-15 08:40:00,3.58
2017-11-15 17:08:00,2017-11-15 20:04:00,5.89
2017-11-15 21:37:00,2017-11-15 21:38:00,0.09
2017-11-15 21:39:00,2017-11-16 08:39:00,5.97
2017-11-16 18:51:00,2017-11-17 08:24:00,6.92
2017-11-17 19:06:00,2017-11-18 05:37:00,6.48
2017-11-18 20:12:00,2017-11-19 06:32:00,6.54
2017-11-19 19:46:00,2017-11-20 08:27:00,1.43
2017-11-20 18:55:00,2017-11-21 10:42:00,6.87
2017-11-21 21:17:00,2017-11-22 08:01:00,6.86
2017-11-22 17:10:00,2017-11-23 06:36:00,5.88
2017-11-23 19:07:00,2017-11-24 08:38:00,7.19
2017-11-24 18:46:00,2017-11-24 19:36:00,2.93
2017-11-24 22:09:00,2017-11-26 06:31:00,5.42
2017-11-26 20:53:00,2017-11-28 09:00:00,6.87
2017-11-28 14:19:00,2017-11-28 15:14:00,3.26
2017-11-28 15:18:00,2017-11-29 06:33:00,2.93
2017-11-29 19:41:00,2017-11-30 08:42:00,7.01
2017-11-30 19:02:00,2017-12-01 08:41:00,6.86
2017-12-01 19:29:00,2017-12-02 08:32:00,6.98
2017-12-02 17:07:00,2017-12-03 08:44:00,5.61
2017-12-03 17:46:00,2017-12-05 06:21:00,4.7
2017-12-05 20:21:00,2017-12-07 08:38:00,6.74
2017-12-07 21:16:00,2017-12-08 08:47:00,7.02
2017-12-08 20:34:00,2017-12-10 10:21:00,6.7
2017-12-11 09:44:00,2017-12-12 10:47:00,1.76
