Start,End,Energy (kWh)
2017-06-15 16:56:00,2017-06-15 18:16:00,9.92
2017-06-15 19:21:00,2017-06-16 06:43:00,7.89
2017-06-16 14:35:00,2017-06-16 16:23:00,13.43
2017-06-18 23:09:00,2017-06-19 07:07:00,23.62
2017-06-19 22:31:00,2017-06-20 06:12:00,16.01
2017-06-20 18:34:00,2017-06-21 06:52:00,31.49
2017-06-21 20:02:00,2017-06-22 07:04:00,18.76
2017-06-22 19:36:00,2017-06-23 06:50:00,19.67
2017-06-23 18:48:00,2017-06-24 16:21:00,17.33
2017-06-24 18:10:00,2017-06-25 14:52:00,5.01
2017-06-25 16:23:00,2017-06-26 07:33:00,8.87
2017-06-26 19:04:00,2017-06-27 07:04:00,34.1
2017-06-27 17:46:00,2017-06-28 06:32:00,16.47
2017-06-28 19:01:00,2017-06-29 07:11:00,17.77
2017-06-29 19:50:00,2017-06-30 11:25:00,15.89
2017-07-02 22:58:00,2017-07-03 07:00:00,21
2017-07-04 19:14:00,2017-07-05 07:00:00,30.48
2017-07-18 19:16:00,2017-07-19 07:06:00,15.28
2017-07-19 18:04:00,2017-07-20 06:46:00,15.46
2017-07-20 18:27:00,2017-07-22 12:49:00,18.22
2017-07-22 19:04:00,2017-07-23 11:52:00,36.62
2017-07-23 16:25:00,2017-07-24 07:02:00,17.91
2017-07-24 18:33:00,2017-07-25 06:28:00,14.42
2017-07-25 20:59:00,2017-07-26 06:47:00,29.68
2017-07-26 18:51:00,2017-07-27 05:37:00,15.69
2017-07-27 15:48:00,2017-07-29 12:06:00,8.48
2017-07-29 22:35:00,2017-07-30 13:37:00,33.63
2017-07-30 20:33:00,2017-07-31 07:00:00,12.24
2017-07-31 13:58:00,2017-07-31 16:42:00,15.01
2017-08-01 17:54:00,2017-08-02 06:53:00,11.57
2017-08-04 19:18:00,2017-08-05 14:08:00,17.2
2017-08-05 21:43:00,2017-08-06 10:37:00,27.6
2017-08-08 21:56:00,2017-08-09 07:11:00,28.61
2017-08-09 19:01:00,2017-08-10 06:55:00,16.63
2017-08-10 20:05:00,2017-08-11 12:05:00,14.49
2017-08-14 18:23:00,2017-08-15 06:28:00,29.38
2017-08-15 20:38:00,2017-08-16 06:06:00,15.59
2017-08-17 18:04:00,2017-08-18 16:24:00,31.42
2017-08-19 01:36:00,2017-08-19 15:42:00,29.77
2017-08-19 19:04:00,2017-08-20 11:39:00,9.2
2017-08-21 18:22:00,2017-08-22 06:55:00,28.67
2017-08-30 22:04:00,2017-08-31 07:02:00,47.18
2017-08-31 19:32:00,2017-09-01 11:25:00,17.31
2017-09-04 17:35:00,2017-09-05 06:42:00,42.33
2017-09-06 21:44:00,2017-09-07 07:02:00,32.24
2017-09-07 18:13:00,2017-09-08 06:39:00,15.6
2017-09-08 19:26:00,2017-09-09 11:04:00,14.68
2017-09-09 21:24:00,2017-09-15 06:41:00,34.25
2017-09-15 19:27:00,2017-09-16 19:09:00,20.1
2017-09-16 19:55:00,2017-09-17 18:21:00,8.57
2017-09-18 17:30:00,2017-09-19 06:53:00,22.59
2017-09-19 20:59:00,2017-09-20 07:09:00,37.59
2017-09-20 18:36:00,2017-09-21 07:11:00,18.32
2017-09-21 14:27:00,2017-09-22 07:04:00,20.59
2017-09-22 18:28:00,2017-09-23 08:34:00,7.47
2017-09-23 08:36:00,2017-09-24 13:04:00,13.61
2017-09-24 18:57:00,2017-09-25 07:05:00,24.67
2017-09-25 17:37:00,2017-09-26 06:50:00,19.11
2017-09-26 18:06:00,2017-09-27 07:04:00,16.94
2017-09-27 19:34:00,2017-09-28 06:53:00,18.6
2017-09-28 21:54:00,2017-09-30 13:18:00,20.58
2017-09-30 14:30:00,2017-10-02 06:50:00,10.21
2017-10-02 18:18:00,2017-10-03 07:07:00,19.7
2017-10-03 18:21:00,2017-10-04 06:35:00,18.16
2017-10-04 18:53:00,2017-10-05 06:53:00,18.39
2017-10-05 20:39:00,2017-10-06 06:24:00,18.47
2017-10-06 20:16:00,2017-10-07 10:53:00,19.83
2017-10-07 16:19:00,2017-10-08 11:56:00,14.46
2017-10-08 20:45:00,2017-10-09 07:04:00,28.04
2017-10-09 19:00:00,2017-10-10 06:53:00,19.5
2017-10-10 20:26:00,2017-10-11 06:18:00,19.08
2017-10-11 19:06:00,2017-10-12 06:35:00,20.87
2017-10-12 18:37:00,2017-10-13 06:14:00,19.36
2017-10-13 18:32:00,2017-10-14 09:00:00,19.95
2017-10-14 16:08:00,2017-10-16 06:12:00,20.32
2017-10-16 18:46:00,2017-10-17 06:23:00,19.97
2017-10-17 19:18:00,2017-10-18 06:25:00,19.64
2017-10-18 19:16:00,2017-10-19 06:39:00,21.24
2017-10-19 16:03:00,2017-10-20 06:50:00,19.41
2017-10-20 17:51:00,2017-10-22 09:10:00,19.24
2017-10-22 17:35:00,2017-10-23 07:00:00,26.08
2017-10-23 19:34:00,2017-10-24 06:39:00,19.2
2017-10-24 21:35:00,2017-10-25 07:03:00,35.21
2017-10-27 07:51:00,2017-10-27 15:42:00,35.87
2017-10-28 15:26:00,2017-10-29 10:21:00,30.17
2017-10-29 20:17:00,2017-10-30 06:52:00,32.23
