Date,HH,Price
2021-01-06 00:00:00,20,47.02475
2021-01-06 00:00:00,21,40.85345
2021-01-06 00:00:00,22,37.37591
2021-01-06 00:00:00,23,34.08465
2021-01-06 00:00:00,24,31.65284
2021-01-07 00:00:00,1,28.74817
2021-01-07 00:00:00,2,28.02421
2021-01-07 00:00:00,3,27.11509
2021-01-07 00:00:00,4,27.69429
2021-01-07 00:00:00,5,29.91046
2021-01-07 00:00:00,6,35.09688
2021-01-07 00:00:00,7,45.74487
2021-01-07 00:00:00,8,47.42297
2021-01-07 00:00:00,9,34.52299
2021-01-07 00:00:00,10,30.75013
2021-01-07 00:00:00,11,28.50493
2021-01-07 00:00:00,12,26.51166
2021-01-07 00:00:00,13,24.70563
2021-01-07 00:00:00,14,25.17932
2021-01-07 00:00:00,15,28.19268
2021-01-07 00:00:00,16,31.92444
2021-01-07 00:00:00,17,44.17672
2021-01-07 00:00:00,18,60.35772
2021-01-07 00:00:00,19,54.51107
2021-01-07 00:00:00,20,46.95889
2021-01-07 00:00:00,21,41.58681
2021-01-07 00:00:00,22,37.50499
2021-01-07 00:00:00,23,35.2686
2021-01-07 00:00:00,24,32.07864
2021-01-08 00:00:00,1,31.44801
2021-01-08 00:00:00,2,30.32804
2021-01-08 00:00:00,3,29.95918
2021-01-08 00:00:00,4,30.1458
2021-01-08 00:00:00,5,30.69336
2021-01-08 00:00:00,6,36.18707
2021-01-08 00:00:00,7,45.38094
2021-01-08 00:00:00,8,46.06378
2021-01-08 00:00:00,9,34.39273
2021-01-08 00:00:00,10,30.61204
2021-01-08 00:00:00,11,24.17428
2021-01-08 00:00:00,12,20.09999
2021-01-08 00:00:00,13,18.73096
2021-01-08 00:00:00,14,16.59261
2021-01-08 00:00:00,15,19.68131
2021-01-08 00:00:00,16,27.44881
2021-01-08 00:00:00,17,38.79393
2021-01-08 00:00:00,18,47.96009
2021-01-08 00:00:00,19,43.17536
2021-01-08 00:00:00,20,39.07376
2021-01-08 00:00:00,21,36.90042
2021-01-08 00:00:00,22,35.07179
2021-01-08 00:00:00,23,32.28172
2021-01-08 00:00:00,24,31.10918
2021-01-09 00:00:00,1,31.66251
2021-01-09 00:00:00,2,30.33462
2021-01-09 00:00:00,3,29.17786
2021-01-09 00:00:00,4,29.25837
2021-01-09 00:00:00,5,30.49295
2021-01-09 00:00:00,6,34.753
2021-01-09 00:00:00,7,39.31475
2021-01-09 00:00:00,8,38.04838
2021-01-09 00:00:00,9,29.97834
2021-01-09 00:00:00,10,26.71066
2021-01-09 00:00:00,11,20.62513
2021-01-09 00:00:00,12,17.30101
2021-01-09 00:00:00,13,12.99599
2021-01-09 00:00:00,14,12.02881
2021-01-09 00:00:00,15,17.35082
2021-01-09 00:00:00,16,27.43562
2021-01-09 00:00:00,17,36.01781
2021-01-09 00:00:00,18,54.15059
2021-01-09 00:00:00,19,49.02144
2021-01-09 00:00:00,20,42.13011
2021-01-09 00:00:00,21,39.5105
2021-01-09 00:00:00,22,37.65308
2021-01-09 00:00:00,23,33.9296
2021-01-09 00:00:00,24,32.36509
2021-01-10 00:00:00,1,32.32879
2021-01-10 00:00:00,2,30.96155
2021-01-10 00:00:00,3,31.7957
2021-01-10 00:00:00,4,31.18001
2021-01-10 00:00:00,5,31.17742
2021-01-10 00:00:00,6,34.21578
2021-01-10 00:00:00,7,38.91505
2021-01-10 00:00:00,8,34.71632
2021-01-10 00:00:00,9,28.66346
2021-01-10 00:00:00,10,21.89554
2021-01-10 00:00:00,11,14.49546
2021-01-10 00:00:00,12,12.21681
2021-01-10 00:00:00,13,9.217
2021-01-10 00:00:00,14,7.42613
2021-01-10 00:00:00,15,13.17111
2021-01-10 00:00:00,16,25.60719
2021-01-10 00:00:00,17,36.0052
2021-01-10 00:00:00,18,50.63509
2021-01-10 00:00:00,19,48.83926
2021-01-10 00:00:00,20,41.4181
2021-01-10 00:00:00,21,39.73271
2021-01-10 00:00:00,22,37.46724
2021-01-10 00:00:00,23,33.52042
2021-01-10 00:00:00,24,31.79794
2021-01-11 00:00:00,1,30.74438
2021-01-11 00:00:00,2,29.86738
2021-01-11 00:00:00,3,29.79724
2021-01-11 00:00:00,4,29.69373
