Timestamp,Demand Total (kW),Heating Demand (kW),Cooling Demand (kW)
2018-08-10 03:30:00,0.0528488617903715,0.0,0.0401565095807351
2018-08-10 03:45:00,0.0513590386197641,0.0,0.0386666864101277
2018-08-10 04:00:00,0.0499272641599587,0.0,0.0372349119503223
2018-08-10 04:15:00,0.0470247965067741,0.0,0.0346578892255899
2018-08-10 04:30:00,0.0446368331742094,0.0,0.0322699258930253
2018-08-10 04:45:00,0.0420605685182768,0.0,0.0296936612370926
2018-08-10 05:00:00,0.0392492091985902,0.0,0.0268823019174061
2018-08-10 05:15:00,0.0382023545943816,0.0,0.0261608922416497
2018-08-10 05:30:00,0.0372441113960607,0.0,0.0252026490433287
2018-08-10 05:45:00,0.0361959011854147,0.0,0.024154438832682798
2018-08-10 06:00:00,0.0351092181387122,0.0,0.0230677557859802
2018-08-10 06:15:00,0.0343051613223891,0.0,0.0225891438981094
2018-08-10 06:30:00,0.0342144739814718,0.0,0.022498456557192098
2018-08-10 06:45:00,0.034186219456748,0.0,0.0224702020324682
2018-08-10 07:00:00,0.0340910888695843,0.0,0.0223750714453046
2018-08-10 07:15:00,0.0332486978329124,0.0,0.0215326804086327
2018-08-10 07:30:00,0.033228626632818,0.0,0.021512609208538203
2018-08-10 07:45:00,0.0326701144603624,0.0,0.0209540970360827
2018-08-10 08:00:00,0.0320962395156667,0.0,0.020380222091387
2018-08-10 08:15:00,0.034315440625996,0.0,0.0219485333448118
2018-08-10 08:30:00,0.0362790334643001,0.0,0.023912126183116
2018-08-10 08:45:00,0.0399817216118768,0.0,0.0276148143306926
2018-08-10 09:00:00,0.0437128932894475,0.0,0.0313459860082633
2018-08-10 09:15:00,0.0668398363650196,0.0,0.0538220392269311
2018-08-10 09:30:00,0.0785557186162698,0.0,0.0655379214781812
2018-08-10 09:45:00,0.0893300253253648,0.0,0.0763122281872762
2018-08-10 10:00:00,0.0999898446011175,0.0,0.086972047463029
2018-08-10 10:15:00,0.1326651189424339,0.0,0.1193218768758931
2018-08-10 10:30:00,0.1480299687427131,0.0,0.1346867266761723
2018-08-10 10:45:00,0.1616327906636731,0.0,0.1482895485971323
2018-08-10 11:00:00,0.175389595055193,0.0,0.16204635298865228
2018-08-10 11:15:00,0.205211610571406,0.0,0.1918683685048653
2018-08-10 11:30:00,0.2220777580358704,0.0,0.2087345159693296
2018-08-10 11:45:00,0.2373606964132275,0.0,0.22401745434668668
