Start,End,Energy (kWh)
2017-09-15 19:49:00,2017-09-16 08:45:00,5.96
2017-09-16 11:04:00,2017-09-16 14:53:00,3.02
2017-09-18 17:52:00,2017-09-18 19:22:00,5.09
2017-09-19 12:43:00,2017-09-19 16:02:00,5.07
2017-09-19 20:29:00,2017-09-20 08:49:00,2.52
2017-09-20 10:59:00,2017-09-20 15:43:00,2.42
2017-09-20 21:14:00,2017-09-21 14:04:00,5.39
2017-09-21 20:47:00,2017-09-22 12:59:00,4.66
2017-09-22 15:51:00,2017-09-22 17:56:00,1.91
2017-09-24 15:26:00,2017-09-24 16:05:00,2.45
2017-09-24 16:25:00,2017-09-24 18:51:00,4.62
2017-09-24 20:30:00,2017-09-25 09:59:00,3.09
2017-09-25 17:01:00,2017-09-26 08:47:00,5.59
2017-09-26 16:06:00,2017-09-26 19:40:00,4.91
2017-09-26 21:37:00,2017-09-27 06:41:00,2.97
2017-09-28 15:36:00,2017-09-28 18:43:00,4.45
2017-09-30 16:11:00,2017-09-30 17:17:00,3.58
2017-09-30 19:23:00,2017-09-30 19:52:00,1.76
2017-09-30 20:16:00,2017-10-01 09:04:00,5.28
2017-10-01 16:12:00,2017-10-01 17:09:00,3.54
2017-10-01 17:11:00,2017-10-02 07:28:00,2.1
2017-10-02 15:34:00,2017-10-03 08:44:00,5.33
2017-10-03 10:17:00,2017-10-03 10:53:00,2.26
2017-10-03 16:20:00,2017-10-04 07:30:00,5.18
2017-10-04 19:41:00,2017-10-05 09:33:00,5.7
2017-10-05 14:40:00,2017-10-05 17:25:00,3.88
2017-10-05 20:05:00,2017-10-06 08:48:00,3.68
2017-10-06 20:13:00,2017-10-07 09:14:00,3.12
2017-10-07 17:43:00,2017-10-08 09:02:00,5.57
2017-10-08 12:16:00,2017-10-08 14:46:00,5.23
2017-10-09 09:46:00,2017-10-10 08:27:00,4.82
2017-10-10 11:27:00,2017-10-10 15:14:00,3.79
2017-10-10 21:02:00,2017-10-11 14:17:00,4.97
2017-10-11 22:05:00,2017-10-12 09:19:00,4.13
2017-10-12 14:19:00,2017-10-12 15:56:00,5.42
2017-10-12 19:59:00,2017-10-13 08:07:00,5.07
2017-10-13 18:58:00,2017-10-14 08:38:00,5.13
2017-10-14 11:17:00,2017-10-14 12:54:00,3.15
2017-10-15 14:26:00,2017-10-15 15:17:00,3.13
2017-10-15 18:49:00,2017-10-16 08:48:00,5.1
2017-10-16 11:45:00,2017-10-16 14:06:00,5.6
2017-10-16 21:34:00,2017-10-17 07:32:00,5.46
2017-10-17 21:49:00,2017-10-18 09:10:00,3.81
2017-10-18 21:28:00,2017-10-19 08:04:00,5.49
2017-10-19 10:04:00,2017-10-19 14:36:00,4.42
2017-10-19 16:16:00,2017-10-19 17:35:00,4.87
2017-10-20 15:36:00,2017-10-20 17:42:00,5.66
2017-10-20 21:00:00,2017-10-21 08:54:00,5.19
2017-10-21 12:49:00,2017-10-21 15:25:00,5.55
2017-10-21 18:16:00,2017-10-21 19:04:00,2.98
2017-10-21 19:47:00,2017-10-21 19:57:00,0.54
2017-10-21 19:57:00,2017-10-22 09:08:00,5.17
2017-10-22 11:04:00,2017-10-22 12:39:00,3.98
2017-10-23 12:32:00,2017-10-23 13:04:00,1.91
2017-10-23 17:19:00,2017-10-24 12:55:00,5.51
2017-10-24 17:12:00,2017-10-24 19:10:00,5.53
2017-10-24 20:20:00,2017-10-25 08:58:00,3.37
2017-10-25 10:10:00,2017-10-25 12:03:00,5.09
