Start,End,Energy (kWh)
2017-06-06 14:00:00,2017-06-06 14:00:00,0.01
2017-06-06 14:01:00,2017-06-06 14:10:00,0.25
2017-06-06 14:11:00,2017-06-06 19:20:00,0.01
2017-06-06 23:13:00,2017-06-07 09:05:00,17.95
2017-06-07 12:45:00,2017-06-07 13:50:00,3.74
2017-06-07 15:10:00,2017-06-07 17:35:00,8.54
2017-06-09 20:06:00,2017-06-10 11:49:00,5.2
2017-06-10 12:33:00,2017-06-10 13:21:00,2.17
2017-06-10 17:48:00,2017-06-12 12:15:00,4.54
2017-06-12 21:45:00,2017-06-13 09:15:00,0.62
2017-06-13 10:20:00,2017-06-13 19:22:00,1.86
2017-06-13 23:16:00,2017-06-14 09:33:00,14.85
2017-06-14 15:04:00,2017-06-15 09:26:00,11.77
2017-06-15 09:54:00,2017-06-15 14:15:00,1.59
2017-06-15 21:47:00,2017-06-16 13:28:00,1.28
2017-06-16 14:52:00,2017-06-17 10:59:00,5.46
2017-06-17 12:44:00,2017-06-17 14:12:00,4.38
2017-06-17 16:21:00,2017-06-18 08:03:00,3.41
2017-06-18 20:20:00,2017-06-19 09:18:00,19.07
2017-06-19 12:48:00,2017-06-20 13:30:00,12.77
2017-06-20 13:59:00,2017-06-20 19:25:00,1.37
2017-06-20 23:15:00,2017-06-21 09:34:00,14.07
2017-06-21 12:53:00,2017-06-23 13:59:00,12.19
2017-06-23 14:33:00,2017-06-24 16:18:00,1.32
2017-06-24 20:49:00,2017-06-25 15:12:00,7.28
2017-06-25 16:18:00,2017-06-26 18:10:00,4.05
2017-06-26 19:22:00,2017-06-27 10:09:00,5.64
2017-06-27 10:59:00,2017-06-27 12:29:00,2.87
2017-06-27 15:26:00,2017-06-27 19:18:00,1.85
2017-06-27 23:00:00,2017-06-28 05:48:00,15.22
2017-06-28 20:42:00,2017-06-29 10:04:00,4.97
2017-06-29 18:28:00,2017-06-30 12:29:00,10.54
2017-06-30 13:00:00,2017-07-01 10:34:00,1.34
2017-07-01 12:30:00,2017-07-01 15:13:00,5.82
2017-07-01 17:54:00,2017-07-02 14:43:00,8.05
2017-07-02 17:33:00,2017-07-03 09:49:00,3.49
2017-07-04 08:39:00,2017-07-04 19:20:00,2.93
2017-07-04 23:09:00,2017-07-07 09:19:00,14.19
2017-07-07 13:31:00,2017-07-07 14:55:00,4.95
2017-07-07 15:26:00,2017-07-08 14:58:00,8.22
2017-07-08 17:00:00,2017-07-09 10:58:00,7.1
2017-07-09 17:17:00,2017-07-10 09:54:00,3.39
2017-07-10 21:52:00,2017-07-11 14:16:00,3.81
2017-07-11 14:44:00,2017-07-11 19:26:00,1.55
2017-07-11 23:29:00,2017-07-12 10:00:00,17.27
2017-07-12 14:07:00,2017-07-14 14:22:00,14.15
2017-07-14 19:06:00,2017-07-15 12:10:00,4.11
2017-07-15 20:00:00,2017-07-16 08:05:00,10.97
2017-07-16 18:51:00,2017-07-17 09:10:00,20.03
2017-07-17 14:31:00,2017-07-17 17:50:00,11.61
2017-07-17 18:42:00,2017-07-18 13:39:00,4.21
2017-07-18 14:06:00,2017-07-18 19:25:00,1.13
2017-07-18 23:15:00,2017-07-20 10:41:00,12.84
2017-07-20 22:32:00,2017-07-21 10:02:00,1.42
2017-07-21 22:08:00,2017-07-22 16:51:00,7.99
2017-07-22 18:29:00,2017-07-23 12:30:00,5.3
2017-07-23 20:34:00,2017-07-24 10:06:00,2.83
2017-07-24 11:08:00,2017-07-24 12:47:00,3.84
2017-07-24 18:31:00,2017-07-25 09:05:00,2.98
2017-07-25 14:26:00,2017-07-26 11:12:00,16.3
2017-07-26 19:45:00,2017-07-28 13:39:00,7.83
2017-07-28 22:39:00,2017-07-29 16:02:00,5.68
2017-07-29 18:47:00,2017-07-30 15:52:00,9.32
2017-07-30 21:36:00,2017-07-31 10:16:00,1.92
2017-07-31 17:59:00,2017-08-01 13:39:00,15.56
2017-08-01 14:06:00,2017-08-01 19:23:00,1.06
2017-08-01 23:05:00,2017-08-03 09:11:00,14.11
2017-08-03 20:36:00,2017-08-04 08:37:00,7.01
2017-08-04 15:41:00,2017-08-05 09:40:00,16.49
2017-08-05 12:59:00,2017-08-05 22:01:00,11.61
2017-08-07 17:33:00,2017-08-08 09:05:00,5.12
2017-08-08 10:16:00,2017-08-08 19:25:00,3.89
2017-08-08 23:11:00,2017-08-10 09:40:00,16.93
2017-08-10 17:47:00,2017-08-11 09:15:00,14.39
2017-08-11 19:10:00,2017-08-13 08:08:00,4.64
2017-08-13 19:07:00,2017-08-14 12:31:00,20.51
2017-08-14 20:30:00,2017-08-15 09:00:00,2.11
2017-08-15 13:31:00,2017-08-15 19:20:00,4.6
2017-08-15 23:15:00,2017-08-16 09:40:00,15.21
2017-08-16 14:36:00,2017-08-17 07:50:00,13.55
2017-08-17 21:47:00,2017-08-18 12:06:00,4.89
2017-08-18 16:53:00,2017-08-19 09:44:00,1.36
2017-08-19 10:09:00,2017-08-19 11:13:00,1
2017-08-19 13:18:00,2017-08-19 20:13:00,3.41
2017-08-21 10:27:00,2017-08-21 12:23:00,4.31
2017-08-21 22:12:00,2017-08-22 07:38:00,3.3
2017-08-22 14:43:00,2017-08-22 19:23:00,12.52
2017-08-22 23:07:00,2017-08-23 08:06:00,13.74
2017-08-23 20:43:00,2017-08-24 07:58:00,6.98
2017-08-24 21:58:00,2017-08-25 07:50:00,6.26
2017-08-25 19:53:00,2017-08-26 10:38:00,7.21
2017-08-26 16:43:00,2017-08-27 13:03:00,6.69
2017-08-27 18:23:00,2017-08-28 17:28:00,4.02
2017-08-29 17:16:00,2017-08-29 19:22:00,3.33
2017-08-29 23:01:00,2017-08-31 12:01:00,14.1
2017-08-31 16:21:00,2017-09-01 13:48:00,7
2017-09-01 19:45:00,2017-09-02 14:22:00,5.8
2017-09-02 17:22:00,2017-09-03 10:30:00,5.26
2017-09-03 19:52:00,2017-09-04 10:14:00,5.24
2017-09-04 17:01:00,2017-09-05 14:21:00,8.8
2017-09-05 14:51:00,2017-09-05 19:23:00,1.2
2017-09-05 23:17:00,2017-09-06 09:21:00,15.68
2017-09-06 14:05:00,2017-09-06 14:11:00,0.32
2017-09-06 14:24:00,2017-09-06 18:34:00,14.29
2017-09-06 18:59:00,2017-09-07 10:29:00,1.38
2017-09-07 19:30:00,2017-09-08 09:54:00,0.9
2017-09-08 14:39:00,2017-09-09 09:24:00,2.73
2017-09-09 09:44:00,2017-09-09 10:55:00,1.01
2017-09-09 10:55:00,2017-09-09 13:00:00,0.02
2017-09-09 17:13:00,2017-09-10 10:34:00,4.98
2017-09-10 16:36:00,2017-09-11 12:34:00,10.13
2017-09-11 13:05:00,2017-09-12 09:02:00,1.3
2017-09-12 14:03:00,2017-09-12 19:22:00,14.24
2017-09-12 23:01:00,2017-09-13 09:10:00,16.71
2017-09-13 20:15:00,2017-09-15 13:48:00,3.36
2017-09-15 19:15:00,2017-09-16 11:32:00,1.72
2017-09-16 13:14:00,2017-09-16 16:10:00,4.31
2017-09-16 17:40:00,2017-09-17 08:04:00,5.48
