Start,End,Energy (kWh)
2017-07-20 20:16:00,2017-07-20 22:48:00,6.92
2017-07-21 15:39:00,2017-07-21 20:09:00,6.78
2017-07-22 20:40:00,2017-07-22 23:39:00,6.78
2017-07-23 13:39:00,2017-07-23 14:37:00,3.54
2017-07-23 18:33:00,2017-07-23 21:14:00,5.33
2017-07-24 06:57:00,2017-07-24 07:53:00,1.56
2017-07-24 13:36:00,2017-07-24 15:48:00,5.23
2017-07-24 20:21:00,2017-07-24 22:17:00,6.16
2017-07-25 20:29:00,2017-07-25 22:26:00,6.57
2017-07-26 07:01:00,2017-07-26 07:23:00,1.31
2017-07-26 20:41:00,2017-07-26 22:40:00,6.43
2017-07-27 18:49:00,2017-07-27 20:55:00,6.73
2017-07-28 18:36:00,2017-07-28 20:39:00,5.98
2017-07-29 21:28:00,2017-07-29 23:26:00,6.64
2017-07-30 18:40:00,2017-07-30 21:53:00,2.02
2017-07-31 07:05:00,2017-07-31 07:34:00,1.66
2017-07-31 19:19:00,2017-07-31 21:26:00,6.52
2017-08-01 20:27:00,2017-08-01 22:23:00,6.54
2017-08-02 07:00:00,2017-08-02 07:34:00,1.63
2017-08-02 17:29:00,2017-08-02 18:35:00,4.05
2017-08-03 12:07:00,2017-08-03 16:34:00,6.66
2017-08-03 20:22:00,2017-08-03 21:57:00,5.86
2017-08-04 06:58:00,2017-08-04 12:18:00,2.32
2017-08-04 14:00:00,2017-08-04 16:17:00,6.71
2017-08-05 21:13:00,2017-08-05 23:17:00,6.67
2017-08-06 19:38:00,2017-08-06 21:21:00,1.79
2017-08-07 20:13:00,2017-08-07 22:28:00,6.64
2017-08-08 06:59:00,2017-08-08 07:36:00,1.81
2017-08-08 20:15:00,2017-08-08 23:06:00,6.5
2017-08-09 18:56:00,2017-08-09 21:10:00,6.6
2017-08-10 07:18:00,2017-08-10 07:48:00,1.66
2017-08-11 08:41:00,2017-08-11 12:03:00,5.39
2017-08-11 15:13:00,2017-08-11 17:09:00,6.61
2017-08-12 15:55:00,2017-08-12 18:05:00,6.29
2017-08-13 14:49:00,2017-08-13 19:22:00,6.43
2017-08-13 20:50:00,2017-08-13 21:35:00,0.89
2017-08-14 20:48:00,2017-08-14 21:31:00,2.64
2017-08-15 07:16:00,2017-08-15 10:19:00,5.37
2017-08-17 09:02:00,2017-08-17 12:20:00,3.1
2017-08-17 20:10:00,2017-08-17 22:03:00,5.17
2017-08-18 12:54:00,2017-08-18 19:05:00,2.27
2017-08-19 22:44:00,2017-08-20 09:36:00,4.56
2017-08-20 10:48:00,2017-08-20 11:55:00,1.2
2017-08-20 20:01:00,2017-08-20 22:07:00,6.66
2017-08-21 22:57:00,2017-08-22 08:18:00,3.19
2017-08-22 20:23:00,2017-08-22 22:45:00,6.59
2017-08-24 07:22:00,2017-08-24 07:58:00,1.92
2017-08-24 18:30:00,2017-08-24 21:25:00,6.49
2017-08-25 14:18:00,2017-08-25 20:28:00,6.64
2017-08-26 16:14:00,2017-08-26 17:56:00,6.29
2017-08-26 20:06:00,2017-08-26 22:16:00,6.46
2017-08-27 10:44:00,2017-08-27 11:28:00,1.57
2017-08-27 12:48:00,2017-08-27 13:11:00,1.37
2017-08-27 19:37:00,2017-08-27 19:55:00,1.08
2017-08-27 20:05:00,2017-08-27 22:35:00,6.25
2017-08-28 17:21:00,2017-08-28 18:05:00,2.62
2017-08-31 21:54:00,2017-09-01 12:15:00,6.55
2017-09-01 14:37:00,2017-09-01 17:25:00,6.84
2017-09-02 16:53:00,2017-09-02 17:58:00,4.03
2017-09-02 19:47:00,2017-09-02 21:43:00,6.53
2017-09-11 16:55:00,2017-09-11 21:28:00,6.26
2017-09-12 18:16:00,2017-09-12 20:48:00,6.6
2017-09-13 19:09:00,2017-09-13 22:58:00,6.39
2017-09-14 19:16:00,2017-09-14 22:06:00,6.58
2017-09-15 19:53:00,2017-09-15 20:28:00,1.93
2017-09-17 19:00:00,2017-09-17 22:30:00,6.38
2017-09-18 15:05:00,2017-09-18 18:34:00,6.62
2017-09-19 19:49:00,2017-09-19 22:18:00,6.54
2017-09-20 20:28:00,2017-09-20 21:19:00,2.58
2017-09-21 19:34:00,2017-09-21 22:19:00,6.51
2017-09-23 20:40:00,2017-09-23 23:46:00,6.47
2017-09-24 13:03:00,2017-09-24 15:43:00,6.24
2017-09-24 18:13:00,2017-09-24 19:50:00,4.44
2017-09-25 19:36:00,2017-09-26 12:38:00,4.29
2017-09-26 14:47:00,2017-09-26 19:35:00,2.41
2017-09-26 19:51:00,2017-09-26 21:20:00,0.84
2017-09-28 20:37:00,2017-09-28 23:46:00,6.6
2017-09-29 17:02:00,2017-09-30 12:34:00,6.51
2017-09-30 21:06:00,2017-10-01 08:44:00,6.46
2017-10-01 08:58:00,2017-10-01 14:22:00,1.74
2017-10-04 20:32:00,2017-10-05 07:35:00,6.43
2017-10-05 19:33:00,2017-10-06 16:36:00,4.65
2017-10-06 19:08:00,2017-10-06 19:31:00,0.49
2017-10-23 17:51:00,2017-10-23 19:39:00,4.83
2017-10-27 17:42:00,2017-10-27 22:03:00,6.46
2017-10-28 20:26:00,2017-10-28 23:40:00,6.41
2017-10-29 11:54:00,2017-10-29 12:27:00,1.98
2017-10-29 15:54:00,2017-10-30 08:54:00,4.16
2017-10-30 19:49:00,2017-10-31 07:47:00,7.02
2017-11-01 19:04:00,2017-11-02 08:16:00,6.5
