Start,End,Energy (kWh)
2017-08-11 15:09:00,2017-08-11 17:16:00,2.09
2017-08-11 18:24:00,2017-08-11 22:44:00,7.42
2017-08-12 19:08:00,2017-08-12 20:55:00,5.13
2017-08-13 20:06:00,2017-08-14 07:29:00,9.04
2017-08-14 15:50:00,2017-08-14 19:59:00,8.61
2017-08-15 17:48:00,2017-08-15 23:11:00,9.1
2017-08-16 18:57:00,2017-08-16 23:49:00,8.98
2017-08-17 17:35:00,2017-08-17 20:24:00,8.45
2017-08-17 21:08:00,2017-08-18 06:49:00,8.23
2017-08-18 14:11:00,2017-08-18 17:49:00,8.96
2017-08-19 11:29:00,2017-08-19 16:00:00,8.86
2017-08-20 11:26:00,2017-08-20 15:58:00,7.61
2017-10-10 22:42:00,2017-10-11 07:04:00,9.38
2017-10-11 18:02:00,2017-10-11 18:38:00,2.06
2017-10-11 18:46:00,2017-10-12 08:19:00,7.6
2017-10-12 17:20:00,2017-10-13 07:21:00,8.97
2017-10-13 20:47:00,2017-10-14 07:42:00,9.06
2017-10-14 15:45:00,2017-10-15 08:30:00,8.74
2017-10-15 20:09:00,2017-10-16 07:29:00,9.58
2017-10-16 12:26:00,2017-10-16 17:42:00,8.39
2017-10-16 19:41:00,2017-10-17 09:20:00,8.47
2017-10-17 17:27:00,2017-10-18 09:20:00,8.89
2017-10-18 17:32:00,2017-10-18 18:56:00,3.93
2017-10-18 22:36:00,2017-10-19 07:19:00,8.74
2017-10-19 11:20:00,2017-10-19 15:37:00,8.45
2017-10-19 17:05:00,2017-10-20 09:14:00,8.37
2017-10-20 18:00:00,2017-10-21 08:17:00,8.48
2017-10-21 16:36:00,2017-10-22 10:45:00,8.89
2017-10-22 12:23:00,2017-10-22 14:28:00,6.85
2017-10-22 16:55:00,2017-10-22 22:00:00,4.2
2017-10-23 16:06:00,2017-10-24 07:56:00,7.68
2017-10-24 13:12:00,2017-10-24 20:10:00,7.66
2017-10-26 20:26:00,2017-10-27 07:48:00,9.5
2017-10-27 13:15:00,2017-10-28 11:25:00,8.65
2017-10-30 12:15:00,2017-10-30 15:19:00,6.21
2017-11-03 17:41:00,2017-11-04 08:32:00,6.57
2017-11-04 09:33:00,2017-11-04 14:22:00,8.66
2017-11-05 07:44:00,2017-11-05 09:27:00,2.64
2017-11-05 17:30:00,2017-11-05 21:40:00,7.32
2017-11-06 17:28:00,2017-11-06 17:46:00,0.99
2017-11-06 19:33:00,2017-11-07 07:13:00,9.19
2017-11-07 19:28:00,2017-11-08 09:25:00,8.98
2017-11-08 17:36:00,2017-11-08 18:47:00,3.99
2017-11-08 22:26:00,2017-11-09 07:14:00,8.45
2017-11-09 17:33:00,2017-11-10 07:10:00,8.69
2017-11-10 19:54:00,2017-11-11 09:20:00,8.23
2017-11-11 17:51:00,2017-11-12 11:29:00,8.88
2017-11-13 19:32:00,2017-11-14 09:20:00,9.39
2017-11-14 17:36:00,2017-11-15 07:17:00,8.58
2017-11-15 12:22:00,2017-11-15 15:32:00,8.73
2017-11-15 17:00:00,2017-11-16 07:17:00,9.24
2017-11-18 22:51:00,2017-11-19 12:19:00,7.98
2017-11-19 16:14:00,2017-11-20 09:23:00,7.29
2017-11-20 19:30:00,2017-11-21 07:16:00,8.03
2017-11-21 16:29:00,2017-11-21 20:43:00,7.4
2017-11-22 11:31:00,2017-11-22 15:45:00,7.87
2017-11-23 17:34:00,2017-11-23 20:49:00,8.64
2017-11-24 17:31:00,2017-11-24 18:40:00,3.84
2017-11-24 18:41:00,2017-11-24 21:54:00,4.72
2017-11-25 17:30:00,2017-11-25 20:50:00,8.5
2017-11-26 17:24:00,2017-11-26 19:44:00,6.65
2017-11-26 19:47:00,2017-11-27 07:11:00,1.1
2017-11-27 19:32:00,2017-11-28 07:16:00,8.49
2017-11-29 17:36:00,2017-11-29 19:09:00,4.89
2017-11-29 22:20:00,2017-11-30 07:00:00,7.66
2017-11-30 17:38:00,2017-12-01 07:17:00,8.13
2017-12-01 22:37:00,2017-12-02 08:14:00,7.67
2017-12-02 17:29:00,2017-12-03 08:41:00,7.56
2017-12-04 06:37:00,2017-12-04 09:23:00,3.49
2017-12-04 19:31:00,2017-12-05 07:47:00,7.94
2017-12-05 17:38:00,2017-12-05 23:39:00,7.1
2017-12-06 22:48:00,2017-12-07 09:07:00,7.75
2017-12-07 22:50:00,2017-12-08 07:15:00,8.1
2017-12-08 17:38:00,2017-12-09 07:31:00,8.45
2017-12-09 17:27:00,2017-12-09 21:20:00,7.84
2017-12-12 07:06:00,2017-12-12 10:46:00,7.04
2017-12-12 12:40:00,2017-12-12 15:15:00,7.61
2017-12-12 17:00:00,2017-12-13 06:58:00,8.13
2017-12-13 11:05:00,2017-12-13 17:16:00,8.1
2017-12-14 18:19:00,2017-12-14 20:43:00,7.6
2017-12-14 21:29:00,2017-12-14 22:48:00,1.11
2017-12-15 17:33:00,2017-12-15 18:08:00,1.89
2017-12-15 18:09:00,2017-12-15 22:49:00,6.56
2017-12-16 17:31:00,2017-12-17 08:11:00,8.7
2017-12-17 18:21:00,2017-12-17 23:34:00,8.28
2017-12-18 17:55:00,2017-12-18 18:12:00,0.84
2017-12-18 18:13:00,2017-12-18 23:00:00,6.94
2017-12-19 17:37:00,2017-12-19 23:36:00,8.65
2017-12-20 21:10:00,2017-12-21 00:09:00,7.69
2017-12-21 07:08:00,2017-12-21 09:01:00,0.01
2017-12-21 20:14:00,2017-12-22 09:22:00,6.44
2017-12-22 16:50:00,2017-12-22 17:41:00,2.82
2017-12-22 17:44:00,2017-12-22 21:13:00,5.3
2017-12-29 18:43:00,2017-12-29 18:54:00,0.45
2017-12-29 18:54:00,2017-12-30 08:36:00,8.33
2017-12-30 11:38:00,2017-12-30 14:19:00,7.7
2017-12-30 17:30:00,2017-12-30 21:02:00,8.51
2017-12-31 12:09:00,2018-01-01 08:20:00,8.37
2018-01-01 12:59:00,2018-01-01 16:42:00,7.49
2018-01-02 12:53:00,2018-01-02 15:56:00,7.4
2018-01-04 17:18:00,2018-01-04 21:05:00,8.55
2018-01-06 08:43:00,2018-01-06 11:35:00,5.43
2018-01-07 18:27:00,2018-01-08 07:18:00,8.75
2018-01-08 19:28:00,2018-01-09 09:24:00,7.85
2018-01-09 17:57:00,2018-01-09 19:57:00,5.67
2018-01-10 08:08:00,2018-01-10 09:04:00,1.95
2018-01-10 17:58:00,2018-01-10 19:02:00,1.96
2018-01-10 22:27:00,2018-01-11 07:15:00,8.24
2018-01-11 13:01:00,2018-01-11 18:30:00,8.09
2018-01-13 14:48:00,2018-01-14 09:18:00,8.49
2018-01-15 19:33:00,2018-01-16 07:34:00,7.58
2018-01-16 20:52:00,2018-01-17 06:35:00,8.48
2018-01-17 17:25:00,2018-01-18 07:26:00,9.41
2018-01-18 17:51:00,2018-01-19 07:15:00,4.8
2018-01-21 07:18:00,2018-01-21 09:10:00,5.24
2018-01-21 18:31:00,2018-01-22 07:18:00,7.48
2018-01-22 19:31:00,2018-01-23 07:36:00,7.83
2018-01-23 17:42:00,2018-01-24 06:55:00,9.31
2018-01-24 17:22:00,2018-01-25 07:44:00,7.86
2018-01-25 18:30:00,2018-01-26 08:08:00,6.4
2018-01-26 16:21:00,2018-01-26 18:23:00,5.93
2018-01-26 18:24:00,2018-01-27 07:22:00,0.81
2018-01-27 14:00:00,2018-01-27 16:17:00,6.82
2018-01-27 17:36:00,2018-01-28 10:14:00,7.65
2018-01-28 14:40:00,2018-01-28 15:40:00,2.93
2018-01-28 16:53:00,2018-01-29 12:50:00,9.27
2018-01-29 16:13:00,2018-01-29 17:16:00,2.3
2018-01-29 18:38:00,2018-01-30 07:55:00,7.71
2018-01-30 10:57:00,2018-01-30 12:03:00,2.7
2018-01-30 17:45:00,2018-01-31 07:32:00,8.51
2018-01-31 17:50:00,2018-02-01 07:47:00,9.24
2018-02-01 17:04:00,2018-02-02 09:52:00,6.43
2018-02-02 15:42:00,2018-02-03 08:33:00,8.04
2018-02-03 10:32:00,2018-02-04 13:04:00,7.64
2018-02-05 12:38:00,2018-02-05 17:46:00,7.79
2018-02-05 19:32:00,2018-02-06 07:49:00,7.58
2018-02-06 22:16:00,2018-02-07 07:09:00,8.66
2018-02-07 17:36:00,2018-02-08 07:00:00,9.43
2018-02-08 17:07:00,2018-02-09 10:13:00,6.46
2018-02-09 13:09:00,2018-02-09 17:43:00,6.12
2018-02-10 09:50:00,2018-02-11 08:05:00,6.21
2018-02-11 21:18:00,2018-02-12 16:50:00,6.6
2018-02-12 18:49:00,2018-02-13 07:38:00,8.07
2018-02-13 16:30:00,2018-02-13 18:10:00,4.56
2018-02-13 21:45:00,2018-02-14 07:28:00,8.01
2018-02-14 19:04:00,2018-02-15 07:49:00,7.27
2018-02-15 19:38:00,2018-02-16 06:43:00,8.32
2018-02-16 19:30:00,2018-02-16 22:16:00,7.5
2018-02-16 23:06:00,2018-02-17 07:09:00,9.1
2018-02-17 17:51:00,2018-02-18 15:11:00,6.22
2018-02-18 17:29:00,2018-02-19 08:12:00,7.76
2018-02-21 07:17:00,2018-02-21 07:47:00,1.65
2018-02-21 19:08:00,2018-02-22 07:51:00,8.83
2018-02-22 17:05:00,2018-02-23 06:51:00,6.53
2018-02-23 15:25:00,2018-02-23 17:43:00,6.07
2018-02-24 09:53:00,2018-02-24 14:52:00,7.54
2018-02-24 16:43:00,2018-02-24 18:12:00,4.14
2018-02-24 18:14:00,2018-02-25 14:33:00,4.02
2018-02-25 15:57:00,2018-02-26 07:00:00,7.75
2018-02-27 17:35:00,2018-02-28 06:35:00,8.1
2018-02-28 17:47:00,2018-02-28 18:42:00,2.67
2018-02-28 18:49:00,2018-03-01 08:58:00,5.71
2018-03-01 15:50:00,2018-03-02 14:35:00,7.46
2018-03-04 08:20:00,2018-03-04 09:06:00,2.07
2018-03-04 17:39:00,2018-03-05 09:11:00,7.64
2018-03-05 19:32:00,2018-03-06 07:49:00,8.45
2018-03-06 17:15:00,2018-03-07 09:08:00,8.36
