Start,End,Energy (kWh)
2017-06-16 17:47:00,2017-06-16 18:18:00,0.01
2017-06-25 09:22:00,2017-06-26 07:55:00,1.9
2017-06-26 19:33:00,2017-06-27 08:37:00,5.79
2017-06-27 22:30:00,2017-06-28 08:09:00,8.83
2017-06-28 18:04:00,2017-06-29 07:54:00,8.88
2017-06-29 18:28:00,2017-06-30 08:36:00,12.12
2017-06-30 17:12:00,2017-07-01 07:41:00,10.22
2017-07-01 19:15:00,2017-07-03 08:38:00,14.06
2017-07-03 18:04:00,2017-07-04 08:38:00,9.91
2017-07-04 17:06:00,2017-07-05 08:32:00,11.38
2017-07-05 17:58:00,2017-07-06 08:15:00,10.26
2017-07-06 19:02:00,2017-07-07 07:38:00,10.73
2017-07-07 18:31:00,2017-07-08 15:23:00,8.17
2017-07-09 11:13:00,2017-07-09 22:33:00,5.06
2017-07-09 22:42:00,2017-07-10 07:47:00,1.55
2017-07-10 15:37:00,2017-07-11 07:50:00,5.86
2017-07-11 18:02:00,2017-07-12 08:39:00,9.79
2017-07-12 09:01:00,2017-07-12 11:52:00,0.71
2017-07-12 21:49:00,2017-07-13 07:19:00,17.01
2017-07-13 21:49:00,2017-07-14 06:21:00,17.52
2017-07-14 20:37:00,2017-07-15 06:08:00,16.67
2017-07-15 21:21:00,2017-07-16 05:22:00,16.69
2017-07-16 22:45:00,2017-07-17 08:35:00,17.28
2017-07-17 19:05:00,2017-07-18 08:37:00,11.51
2017-07-18 18:48:00,2017-07-19 08:40:00,8.9
2017-07-19 20:58:00,2017-07-20 08:33:00,9.44
2017-07-20 17:34:00,2017-07-21 08:39:00,8.5
2017-07-21 16:47:00,2017-07-24 08:44:00,9.3
2017-07-24 18:51:00,2017-07-25 08:35:00,12.78
2017-07-25 18:37:00,2017-07-26 08:51:00,10.75
2017-07-26 18:08:00,2017-07-27 08:19:00,10.92
2017-07-27 18:01:00,2017-07-28 08:58:00,9.09
2017-07-28 18:09:00,2017-07-28 20:33:00,8.87
2017-07-28 21:05:00,2017-07-30 16:17:00,2.45
2017-08-15 20:12:00,2017-08-16 08:21:00,9.73
2017-08-17 17:45:00,2017-08-18 08:45:00,9.91
2017-08-18 17:55:00,2017-08-19 08:26:00,8.73
2017-08-19 11:23:00,2017-08-19 16:17:00,7.75
2017-08-20 10:40:00,2017-08-20 17:05:00,8.78
2017-08-20 19:55:00,2017-08-21 08:36:00,10.36
2017-08-21 17:44:00,2017-08-22 08:38:00,10.1
2017-08-22 18:17:00,2017-08-23 13:19:00,7.55
2017-08-23 20:30:00,2017-08-24 08:42:00,8.99
2017-08-24 17:50:00,2017-08-25 08:18:00,8.94
2017-08-25 17:34:00,2017-08-27 14:55:00,9.8
2017-08-27 20:23:00,2017-08-28 10:19:00,5.53
2017-08-28 19:01:00,2017-08-29 08:49:00,11.34
2017-08-29 18:17:00,2017-08-30 08:44:00,5.98
2017-08-30 17:59:00,2017-08-31 08:47:00,11.29
2017-08-31 18:45:00,2017-09-01 08:50:00,10.13
2017-09-01 18:31:00,2017-09-03 11:34:00,7.63
2017-09-03 16:29:00,2017-09-04 08:35:00,4.62
2017-09-04 17:58:00,2017-09-05 08:03:00,8.1
2017-09-05 18:36:00,2017-09-06 08:38:00,9.27
2017-09-06 21:12:00,2017-09-07 08:39:00,9.64
2017-09-07 17:29:00,2017-09-08 08:44:00,9.83
2017-09-08 17:51:00,2017-09-11 08:42:00,10.74
2017-09-11 17:38:00,2017-09-12 08:37:00,10.59
2017-09-12 18:34:00,2017-09-13 08:40:00,9.93
2017-09-13 16:55:00,2017-09-14 07:50:00,11.76
2017-09-14 17:01:00,2017-09-15 07:42:00,8.41
2017-09-15 15:36:00,2017-09-16 14:04:00,5.52
2017-09-16 22:33:00,2017-09-18 08:37:00,5.27
2017-09-18 18:08:00,2017-09-19 08:43:00,11.27
2017-09-19 20:44:00,2017-09-20 08:33:00,11.09
2017-09-20 17:51:00,2017-09-21 08:41:00,9.92
2017-09-21 19:55:00,2017-09-22 08:35:00,11.12
2017-09-22 17:58:00,2017-09-25 08:41:00,11.33
