Start,End,Energy (kWh)
2017-08-05 18:42:00,2017-08-06 10:37:00,6.55
2017-08-06 14:27:00,2017-08-06 17:31:00,3.07
2017-08-07 14:25:00,2017-08-07 15:21:00,3.4
2017-08-07 20:09:00,2017-08-08 06:36:00,6.11
2017-08-08 18:18:00,2017-08-09 10:56:00,6.16
2017-08-09 11:09:00,2017-08-09 11:26:00,1.02
2017-08-09 16:26:00,2017-08-09 18:21:00,5.98
2017-08-09 20:30:00,2017-08-10 08:59:00,4.11
2017-08-10 15:22:00,2017-08-10 18:20:00,6.55
2017-08-10 20:32:00,2017-08-11 09:57:00,2.42
2017-08-11 13:47:00,2017-08-11 16:31:00,3.7
2017-08-11 18:31:00,2017-08-12 10:49:00,3.78
2017-08-12 18:41:00,2017-08-13 08:50:00,5.04
2017-08-13 21:18:00,2017-08-14 11:46:00,6.08
2017-08-14 21:06:00,2017-08-15 06:26:00,5.69
2017-08-15 17:32:00,2017-08-15 18:29:00,3.48
2017-08-15 19:04:00,2017-08-16 09:20:00,4.66
2017-08-16 12:43:00,2017-08-16 14:04:00,4.97
2017-08-16 14:46:00,2017-08-16 15:47:00,3.3
2017-08-16 17:58:00,2017-08-16 18:27:00,1.79
2017-08-16 20:30:00,2017-08-17 08:26:00,6.07
2017-08-17 16:51:00,2017-08-17 18:24:00,5.74
2017-08-17 20:30:00,2017-08-18 10:18:00,3.1
2017-08-18 12:00:00,2017-08-18 12:32:00,1.87
2017-08-19 17:15:00,2017-08-19 22:36:00,6.16
2017-08-19 22:47:00,2017-08-20 10:26:00,2.5
2017-08-20 12:34:00,2017-08-20 14:56:00,3.11
2017-08-21 12:03:00,2017-08-21 13:30:00,4.95
2017-08-21 13:32:00,2017-08-21 15:31:00,0.08
2017-08-21 21:37:00,2017-08-22 07:35:00,2.87
2017-08-22 16:28:00,2017-08-22 18:14:00,6.4
2017-08-22 19:40:00,2017-08-23 09:09:00,1.3
2017-08-23 11:22:00,2017-08-23 12:50:00,2.92
2017-08-24 00:39:00,2017-08-24 10:57:00,6.32
2017-08-24 14:47:00,2017-08-24 17:40:00,5.97
2017-08-24 21:08:00,2017-08-25 11:48:00,6.37
2017-08-25 15:49:00,2017-08-25 16:31:00,2.47
2017-08-25 18:29:00,2017-08-25 22:34:00,4.28
2017-08-25 22:59:00,2017-08-26 09:08:00,2.94
2017-08-26 09:19:00,2017-08-27 07:59:00,1.05
2017-08-30 19:39:00,2017-08-31 09:56:00,6.29
2017-08-31 18:03:00,2017-08-31 18:28:00,0.16
2017-08-31 20:23:00,2017-09-01 11:45:00,6.32
2017-09-01 21:22:00,2017-09-02 09:03:00,6.15
2017-09-02 12:48:00,2017-09-02 14:09:00,0.01
2017-09-02 15:54:00,2017-09-02 19:22:00,0.19
2017-09-02 22:15:00,2017-09-03 10:47:00,5.98
2017-09-03 11:01:00,2017-09-03 12:02:00,2.41
2017-09-03 18:22:00,2017-09-05 09:12:00,6.14
2017-09-05 09:28:00,2017-09-05 17:35:00,2.23
2017-09-05 21:01:00,2017-09-06 07:41:00,3.55
2017-09-06 20:33:00,2017-09-07 06:36:00,5.87
2017-09-07 17:49:00,2017-09-07 22:00:00,5.94
2017-09-07 22:31:00,2017-09-08 07:51:00,4.1
2017-09-08 08:06:00,2017-09-08 10:04:00,0.61
2017-09-08 14:07:00,2017-09-08 16:35:00,6.03
2017-09-08 18:41:00,2017-09-08 19:30:00,3.02
2017-09-08 21:34:00,2017-09-09 08:57:00,5.74
2017-09-09 16:39:00,2017-09-09 18:41:00,3.29
2017-09-09 19:21:00,2017-09-10 09:16:00,4.71
2017-09-10 13:08:00,2017-09-10 14:38:00,5.59
2017-09-10 22:11:00,2017-09-11 10:24:00,2.88
2017-09-11 18:04:00,2017-09-12 06:25:00,6.14
2017-09-12 18:59:00,2017-09-13 07:53:00,6.1
2017-09-13 08:08:00,2017-09-13 08:50:00,2.51
2017-09-13 15:22:00,2017-09-13 16:14:00,3.23
2017-09-13 17:06:00,2017-09-13 18:27:00,4.82
2017-09-13 20:33:00,2017-09-14 07:49:00,4.22
2017-09-14 08:05:00,2017-09-14 13:09:00,2.84
2017-09-14 16:44:00,2017-09-14 18:48:00,6.04
2017-09-14 20:11:00,2017-09-15 07:48:00,1.93
2017-09-15 08:03:00,2017-09-15 11:49:00,3.14
2017-09-15 15:20:00,2017-09-16 09:12:00,3.76
2017-09-16 14:24:00,2017-09-17 10:39:00,6.07
2017-09-17 16:44:00,2017-09-17 19:55:00,6.17
2017-09-17 20:10:00,2017-09-18 07:50:00,0.58
2017-09-18 15:03:00,2017-09-18 16:12:00,4.23
2017-09-18 16:44:00,2017-09-18 17:31:00,2.83
2017-09-18 20:58:00,2017-09-19 06:49:00,7.03
2017-09-19 17:27:00,2017-09-19 19:27:00,6.05
2017-09-19 19:53:00,2017-09-20 06:35:00,3.49
2017-09-20 17:46:00,2017-09-20 18:32:00,2.73
2017-09-20 20:40:00,2017-09-21 16:33:00,6.28
2017-09-21 16:48:00,2017-09-21 18:37:00,2.23
2017-09-21 20:15:00,2017-09-22 07:37:00,4.58
2017-09-22 07:55:00,2017-09-22 11:50:00,3.6
2017-09-22 13:02:00,2017-09-22 15:20:00,2.38
2017-10-05 20:10:00,2017-10-06 07:50:00,5.99
2017-10-06 08:04:00,2017-10-06 11:48:00,3.23
2017-10-06 19:36:00,2017-10-07 08:55:00,6.24
2017-10-07 14:55:00,2017-10-07 18:01:00,4.34
2017-10-07 18:43:00,2017-10-07 21:25:00,2.25
2017-10-07 21:40:00,2017-10-08 11:12:00,2.09
2017-10-08 17:02:00,2017-10-10 06:23:00,5.96
2017-10-10 17:57:00,2017-10-10 19:47:00,6.24
2017-10-10 21:24:00,2017-10-11 09:58:00,3.65
2017-10-11 14:44:00,2017-10-11 18:31:00,6.02
2017-10-11 20:32:00,2017-10-12 09:36:00,5.07
2017-10-12 12:42:00,2017-10-12 13:41:00,3.69
2017-10-12 14:09:00,2017-10-12 18:33:00,2.7
2017-10-12 20:13:00,2017-10-13 08:54:00,2.31
2017-10-13 13:27:00,2017-10-14 08:57:00,5.67
2017-10-14 13:47:00,2017-10-14 18:14:00,6.14
2017-10-14 18:45:00,2017-10-15 13:35:00,4.06
2017-10-16 11:51:00,2017-10-16 14:12:00,1.29
2017-10-16 20:33:00,2017-10-17 06:40:00,1.49
2017-10-17 18:46:00,2017-10-18 10:07:00,6.21
2017-10-18 15:16:00,2017-10-18 18:30:00,6.2
2017-10-18 20:31:00,2017-10-19 06:37:00,4.72
2017-10-19 18:06:00,2017-10-19 18:35:00,1.79
2017-10-19 20:19:00,2017-10-20 08:33:00,6.44
2017-10-20 13:51:00,2017-10-20 14:32:00,2.52
2017-10-20 19:13:00,2017-10-21 09:24:00,6.21
2017-10-21 12:37:00,2017-10-21 14:04:00,5.37
2017-10-21 18:23:00,2017-10-21 18:36:00,0.8
2017-10-21 19:27:00,2017-10-22 09:34:00,6.45
2017-10-23 18:51:00,2017-10-24 09:20:00,6.31
2017-10-24 15:16:00,2017-10-25 06:36:00,6.01
2017-10-25 18:05:00,2017-10-25 18:39:00,2.09
2017-10-26 13:34:00,2017-10-26 18:59:00,6.26
2017-10-26 21:17:00,2017-10-27 08:58:00,1.64
2017-10-27 11:09:00,2017-10-27 13:44:00,6.32
2017-10-27 16:33:00,2017-10-28 09:20:00,6.25
2017-10-28 18:22:00,2017-10-28 19:24:00,3.86
2017-10-28 20:04:00,2017-10-29 10:38:00,4.91
2017-10-29 17:25:00,2017-10-30 06:34:00,2.68
2017-10-30 19:00:00,2017-11-01 09:14:00,6.19
2017-11-01 15:09:00,2017-11-01 18:28:00,4.63
2017-11-01 20:26:00,2017-11-02 09:36:00,6.26
2017-11-02 11:46:00,2017-11-02 16:22:00,3.15
2017-11-02 20:18:00,2017-11-03 07:53:00,3.23
2017-11-03 08:09:00,2017-11-03 15:19:00,2.77
2017-11-03 16:17:00,2017-11-03 16:38:00,1.29
2017-11-03 18:40:00,2017-11-04 09:03:00,6.26
2017-11-04 16:24:00,2017-11-05 10:30:00,2.52
2017-11-05 12:31:00,2017-11-05 13:14:00,2.6
2017-11-05 15:53:00,2017-11-06 07:51:00,6.87
2017-11-06 18:33:00,2017-11-07 06:53:00,6.18
2017-11-07 19:26:00,2017-11-08 06:50:00,6.56
2017-11-08 20:36:00,2017-11-09 07:35:00,7.07
2017-11-09 17:16:00,2017-11-09 18:47:00,5.56
2017-11-09 20:14:00,2017-11-10 08:04:00,2.73
2017-11-10 14:02:00,2017-11-10 15:52:00,3.15
2017-11-10 16:07:00,2017-11-11 09:15:00,2.66
2017-11-11 13:02:00,2017-11-11 14:45:00,2.39
2017-11-11 16:24:00,2017-11-12 09:03:00,2.51
2017-11-12 16:17:00,2017-11-13 04:15:00,7.96
2017-11-15 20:29:00,2017-11-16 19:00:00,5.96
2017-11-16 20:24:00,2017-11-17 15:41:00,3.77
2017-11-17 15:52:00,2017-11-17 16:42:00,3.06
2017-11-17 18:59:00,2017-11-17 20:56:00,6.36
2017-11-17 21:06:00,2017-11-18 09:12:00,2.9
2017-11-18 16:15:00,2017-11-19 09:56:00,6.17
2017-11-19 15:23:00,2017-11-20 09:43:00,5.03
2017-11-20 13:17:00,2017-11-21 06:38:00,6.69
2017-11-21 18:33:00,2017-11-22 18:23:00,6.48
2017-11-22 20:36:00,2017-11-23 07:46:00,6.28
2017-11-23 08:04:00,2017-11-23 09:53:00,3.21
2017-11-23 15:47:00,2017-11-23 18:49:00,6.2
2017-11-23 22:45:00,2017-11-24 07:50:00,5.26
2017-11-24 08:07:00,2017-11-24 09:42:00,3.45
2017-11-24 13:05:00,2017-11-24 16:25:00,6.18
2017-11-24 16:36:00,2017-11-24 19:18:00,2.9
2017-11-25 12:34:00,2017-11-25 13:09:00,2.12
2017-11-25 13:41:00,2017-11-25 15:18:00,4.04
2017-11-25 16:57:00,2017-11-25 18:49:00,4.99
2017-11-25 19:24:00,2017-11-26 10:38:00,5.95
2017-11-26 16:02:00,2017-11-27 06:36:00,6.2
2017-11-27 17:34:00,2017-11-28 06:40:00,7.51
2017-11-28 18:35:00,2017-11-29 09:49:00,6.46
2017-11-29 11:43:00,2017-11-29 18:09:00,3.19
2017-11-29 20:24:00,2017-11-30 06:54:00,6.33
2017-11-30 18:06:00,2017-11-30 18:47:00,2.46
2017-11-30 20:14:00,2017-12-01 07:28:00,1.33
2017-12-01 07:44:00,2017-12-01 12:46:00,6.22
2017-12-01 14:31:00,2017-12-01 20:28:00,4.35
2017-12-01 21:24:00,2017-12-02 09:33:00,6.81
2017-12-02 12:50:00,2017-12-02 14:13:00,4.94
2017-12-02 14:37:00,2017-12-02 16:41:00,1.01
2017-12-02 17:21:00,2017-12-03 10:34:00,5.89
2017-12-03 12:27:00,2017-12-03 13:42:00,4.4
2017-12-03 16:32:00,2017-12-05 06:32:00,6.23
2017-12-05 20:24:00,2017-12-06 08:59:00,6.16
2017-12-06 13:50:00,2017-12-06 18:18:00,5.88
2017-12-06 20:32:00,2017-12-07 06:44:00,6.15
2017-12-08 15:25:00,2017-12-09 11:17:00,7.8
2017-12-09 12:26:00,2017-12-10 18:47:00,6.95
2017-12-11 11:50:00,2017-12-11 13:14:00,2.83
2017-12-15 15:57:00,2017-12-15 16:41:00,2.71
2017-12-15 18:42:00,2017-12-16 09:00:00,7.82
2017-12-16 10:40:00,2017-12-16 19:41:00,2.97
2017-12-16 20:09:00,2017-12-16 23:50:00,5.9
2017-12-17 00:15:00,2017-12-17 10:41:00,4.55
2017-12-17 12:06:00,2017-12-17 13:05:00,3.14
2017-12-17 16:06:00,2017-12-18 06:42:00,7.27
2017-12-18 17:39:00,2017-12-19 13:43:00,5.79
2017-12-19 14:00:00,2017-12-19 18:45:00,3.47
2017-12-19 22:47:00,2017-12-20 07:00:00,6.67
2017-12-20 18:11:00,2017-12-20 18:35:00,1.45
2017-12-20 21:05:00,2017-12-21 09:55:00,6.2
2017-12-21 14:21:00,2017-12-21 18:45:00,6.08
2017-12-21 20:34:00,2017-12-22 08:40:00,3.48
2017-12-22 16:02:00,2017-12-23 10:39:00,6.13
2017-12-23 13:15:00,2017-12-23 14:00:00,2.77
2017-12-23 16:02:00,2017-12-23 17:36:00,3
2017-12-23 18:22:00,2017-12-24 10:40:00,6.28
2017-12-24 12:30:00,2017-12-26 13:03:00,4.58
2017-12-26 16:20:00,2017-12-27 11:12:00,6.14
2017-12-27 15:23:00,2017-12-28 14:07:00,6.5
2017-12-28 14:21:00,2017-12-29 11:04:00,2.52
2017-12-29 12:56:00,2017-12-29 18:30:00,3.43
2017-12-29 21:54:00,2017-12-30 10:20:00,4.6
2017-12-30 18:32:00,2017-12-31 10:38:00,5.87
2017-12-31 13:14:00,2017-12-31 16:46:00,5.72
2017-12-31 17:00:00,2018-01-01 13:26:00,2.9
2018-01-02 13:24:00,2018-01-02 15:40:00,3.57
2018-01-02 15:53:00,2018-01-03 11:18:00,3.07
2018-01-03 11:53:00,2018-01-03 18:36:00,4.98
2018-01-03 20:30:00,2018-01-04 06:36:00,6.34
2018-01-04 17:46:00,2018-01-04 18:38:00,2.8
2018-01-04 20:16:00,2018-01-05 07:47:00,6.08
2018-01-05 08:05:00,2018-01-05 11:47:00,3.49
2018-01-05 13:09:00,2018-01-05 14:33:00,3.05
2018-01-05 16:09:00,2018-01-05 16:24:00,0.88
2018-01-05 19:06:00,2018-01-05 21:11:00,6.13
2018-01-05 21:24:00,2018-01-06 09:12:00,3.61
2018-01-06 12:50:00,2018-01-06 15:24:00,6.26
2018-01-06 16:31:00,2018-01-07 10:34:00,0.13
2018-01-07 12:08:00,2018-01-08 13:13:00,4.38
2018-01-08 14:16:00,2018-01-08 18:58:00,4.06
2018-01-08 19:50:00,2018-01-09 06:28:00,4.57
2018-01-09 18:35:00,2018-01-10 06:33:00,6.63
2018-01-10 20:35:00,2018-01-11 06:37:00,7.15
2018-01-11 16:43:00,2018-01-11 18:45:00,5.98
2018-01-11 20:22:00,2018-01-12 16:23:00,3.88
2018-01-12 16:32:00,2018-01-12 18:37:00,1.99
2018-01-12 18:44:00,2018-01-12 19:59:00,1.63
2018-01-12 20:52:00,2018-01-13 09:29:00,4.37
2018-01-13 12:37:00,2018-01-13 14:33:00,6.22
2018-01-13 20:37:00,2018-01-14 11:01:00,3.52
2018-01-14 11:17:00,2018-01-14 13:11:00,1.85
2018-01-14 15:53:00,2018-01-15 18:14:00,5.38
2018-01-15 18:59:00,2018-01-16 06:34:00,4.69
2018-01-16 17:53:00,2018-01-17 15:11:00,7.86
2018-01-17 15:26:00,2018-01-17 17:37:00,3.21
2018-01-17 20:23:00,2018-01-18 09:41:00,6.09
2018-01-18 12:37:00,2018-01-18 18:44:00,5.74
2018-01-18 20:19:00,2018-01-19 11:33:00,3.52
2018-01-19 13:06:00,2018-01-19 16:26:00,3.96
2018-01-19 16:34:00,2018-01-19 18:43:00,1.9
2018-01-19 18:50:00,2018-01-20 09:23:00,1.85
2018-01-20 12:26:00,2018-01-20 14:47:00,4.4
2018-01-20 17:12:00,2018-01-21 11:40:00,5.1
2018-01-21 13:11:00,2018-01-22 10:58:00,4.82
2018-01-22 15:40:00,2018-01-23 06:25:00,5.49
2018-01-23 18:29:00,2018-01-24 07:52:00,5.94
2018-01-24 08:11:00,2018-01-24 09:56:00,3.46
2018-01-24 11:15:00,2018-01-24 15:36:00,3.84
2018-01-24 16:03:00,2018-01-24 18:30:00,4.26
2018-01-24 20:34:00,2018-01-25 12:19:00,6.13
2018-01-25 16:01:00,2018-01-25 16:48:00,2.86
2018-01-25 17:10:00,2018-01-25 18:39:00,5.37
2018-01-25 21:46:00,2018-01-26 16:21:00,5.74
2018-01-26 19:03:00,2018-01-27 09:05:00,6.15
2018-01-27 11:18:00,2018-01-27 13:06:00,4.88
2018-01-27 15:29:00,2018-01-28 13:18:00,2.97
2018-01-28 13:52:00,2018-01-28 14:32:00,2.31
2018-01-28 17:34:00,2018-01-29 07:52:00,6.06
2018-01-29 08:10:00,2018-01-29 12:33:00,3.01
2018-01-29 15:19:00,2018-01-29 18:05:00,2.06
2018-01-29 20:47:00,2018-01-30 06:32:00,7.33
2018-01-30 17:56:00,2018-01-31 06:40:00,5.64
2018-01-31 20:37:00,2018-02-01 07:49:00,7.18
2018-02-01 08:04:00,2018-02-01 10:29:00,3.22
2018-02-01 15:27:00,2018-02-02 11:08:00,5.73
2018-02-02 13:10:00,2018-02-02 16:19:00,4.81
2018-02-02 18:42:00,2018-02-03 08:58:00,6.08
2018-02-03 14:55:00,2018-02-03 18:40:00,5.07
2018-02-03 19:34:00,2018-02-04 10:51:00,6.15
2018-02-04 13:06:00,2018-02-04 13:52:00,2.83
2018-02-04 14:13:00,2018-02-04 14:57:00,2.39
2018-02-04 15:24:00,2018-02-06 06:35:00,2.82
2018-02-06 17:55:00,2018-02-07 07:54:00,6.46
2018-02-07 08:15:00,2018-02-07 09:04:00,3.02
2018-02-07 10:57:00,2018-02-07 15:07:00,3.94
2018-02-07 20:28:00,2018-02-08 09:48:00,5.71
2018-02-08 15:08:00,2018-02-09 09:27:00,6
2018-02-09 14:05:00,2018-02-09 15:50:00,5.65
2018-02-09 19:14:00,2018-02-10 00:29:00,5.61
2018-02-10 12:40:00,2018-02-10 18:05:00,5.72
2018-02-10 21:24:00,2018-02-11 09:48:00,2.55
2018-02-11 12:20:00,2018-02-11 12:42:00,1.3
2018-02-11 16:26:00,2018-02-11 20:21:00,5.36
2018-02-11 20:34:00,2018-02-12 13:38:00,2.93
2018-02-12 14:24:00,2018-02-13 06:34:00,0.04
2018-02-13 18:01:00,2018-02-14 07:43:00,6.52
2018-02-14 08:15:00,2018-02-14 09:10:00,3.39
2018-02-14 10:44:00,2018-02-14 15:06:00,4.44
2018-02-14 15:30:00,2018-02-14 18:36:00,3.84
2018-02-14 20:36:00,2018-02-15 08:04:00,5.69
2018-02-15 17:58:00,2018-02-15 18:34:00,2.15
2018-02-16 13:27:00,2018-02-16 14:15:00,2.76
2018-02-16 14:58:00,2018-02-16 16:37:00,3.21
2018-02-16 18:54:00,2018-02-17 09:31:00,4.38
2018-02-24 14:04:00,2018-02-24 14:34:00,1.87
2018-02-24 14:53:00,2018-02-24 17:51:00,4.05
