Start,End,Energy (kWh)
2017-09-20 12:37:00,2017-09-20 12:42:00,0.01
2017-09-20 12:43:00,2017-09-20 12:45:00,0.03
2017-09-20 12:46:00,2017-09-20 12:48:00,0.03
2017-09-20 19:03:00,2017-09-21 07:53:00,3.62
2017-09-21 19:19:00,2017-09-21 19:20:00,0.02
2017-09-21 19:21:00,2017-09-22 07:26:00,5.52
2017-10-06 18:51:00,2017-10-06 20:16:00,5.25
2017-10-06 20:38:00,2017-10-07 09:34:00,1.63
2017-10-07 11:15:00,2017-10-07 14:33:00,5.12
2017-10-08 12:32:00,2017-10-08 12:56:00,1.35
2017-10-08 12:56:00,2017-10-08 13:08:00,0.64
2017-10-08 15:00:00,2017-10-08 17:31:00,5.39
2017-10-09 18:29:00,2017-10-09 19:53:00,5.24
2017-10-09 20:06:00,2017-10-10 07:57:00,1.88
2017-10-10 18:50:00,2017-10-11 08:03:00,5.5
2017-10-11 19:07:00,2017-10-12 08:06:00,6.13
2017-10-12 19:08:00,2017-10-13 07:28:00,6.01
2017-10-13 18:54:00,2017-10-14 10:17:00,5
2017-10-15 13:43:00,2017-10-16 08:08:00,5.68
2017-10-16 18:15:00,2017-10-17 07:52:00,6.05
2017-10-17 18:46:00,2017-10-18 07:48:00,6.73
2017-10-18 19:05:00,2017-10-19 09:31:00,5.84
2017-10-19 17:03:00,2017-10-20 09:40:00,5.79
2017-10-20 16:42:00,2017-10-20 18:00:00,4.88
2017-10-20 18:05:00,2017-10-21 08:09:00,0.96
2017-10-21 11:02:00,2017-10-21 11:34:00,1.99
2017-10-21 13:39:00,2017-10-21 14:05:00,1.62
2017-10-21 15:19:00,2017-10-21 16:48:00,5.61
2017-10-21 17:35:00,2017-10-22 10:30:00,5.56
2017-10-22 17:34:00,2017-10-23 07:55:00,5.83
2017-10-23 18:09:00,2017-10-24 07:54:00,5.21
2017-10-24 18:58:00,2017-10-25 07:54:00,5.83
2017-10-25 19:22:00,2017-10-26 07:57:00,6
2017-10-26 18:31:00,2017-10-27 07:53:00,6.25
2017-10-27 18:51:00,2017-10-28 09:35:00,6.12
2017-10-28 12:06:00,2017-10-28 13:10:00,3.95
2017-10-28 13:12:00,2017-10-28 13:47:00,1.97
2017-10-28 15:31:00,2017-10-29 09:50:00,2.74
2017-10-29 11:34:00,2017-10-29 13:13:00,5.83
2017-10-30 18:27:00,2017-10-31 06:41:00,6.38
2017-10-31 19:14:00,2017-11-01 08:12:00,5.94
2017-11-01 19:35:00,2017-11-02 07:18:00,5.92
2017-11-02 18:50:00,2017-11-03 07:23:00,5.79
2017-11-03 18:45:00,2017-11-03 20:06:00,5.07
2017-11-03 20:35:00,2017-11-04 09:02:00,1.83
2017-11-04 13:07:00,2017-11-04 14:29:00,5.04
2017-11-04 16:18:00,2017-11-05 09:29:00,5.62
2017-11-05 09:38:00,2017-11-05 11:18:00,1.8
2017-11-05 16:47:00,2017-11-06 07:58:00,5.97
2017-11-06 19:03:00,2017-11-07 07:34:00,6.18
2017-11-07 18:42:00,2017-11-08 07:53:00,6.73
2017-11-08 19:02:00,2017-11-09 08:13:00,5.81
2017-11-09 19:03:00,2017-11-10 08:13:00,6.45
2017-11-10 18:44:00,2017-11-10 20:13:00,5.53
2017-11-10 20:28:00,2017-11-11 09:07:00,1.46
2017-11-11 11:02:00,2017-11-11 11:35:00,2.08
2017-11-11 16:07:00,2017-11-11 17:00:00,3.31
2017-11-11 17:18:00,2017-11-12 10:41:00,3.69
2017-11-12 12:51:00,2017-11-12 14:06:00,4.7
2017-11-12 15:37:00,2017-11-13 08:11:00,6.47
2017-11-13 18:14:00,2017-11-14 08:17:00,6.44
2017-11-14 18:13:00,2017-11-15 08:06:00,5.8
2017-11-15 19:05:00,2017-11-16 08:01:00,5.72
2017-11-16 19:12:00,2017-11-17 07:56:00,6.3
2017-11-17 18:43:00,2017-11-18 09:34:00,6.28
2017-11-18 11:02:00,2017-11-18 11:44:00,2.6
2017-11-18 12:59:00,2017-11-18 13:41:00,2.53
2017-11-18 15:09:00,2017-11-18 16:32:00,5.19
2017-11-18 16:46:00,2017-11-19 11:13:00,1.16
2017-11-19 17:30:00,2017-11-20 07:50:00,1.87
2017-11-20 18:31:00,2017-11-21 08:05:00,5.25
2017-11-21 19:02:00,2017-11-22 08:03:00,6.32
2017-11-22 19:00:00,2017-11-23 07:23:00,6.1
2017-11-23 19:24:00,2017-11-24 07:30:00,5.31
2017-11-24 18:44:00,2017-11-24 20:20:00,5.23
2017-11-25 12:06:00,2017-11-25 14:27:00,6.01
2017-11-26 11:41:00,2017-11-26 12:12:00,1.91
2017-11-26 13:36:00,2017-11-26 14:40:00,3.9
2017-11-26 15:43:00,2017-11-27 07:53:00,5.71
2017-11-27 18:32:00,2017-11-28 07:49:00,6.23
2017-11-28 18:27:00,2017-11-29 08:42:00,6.91
2017-11-29 19:53:00,2017-11-30 07:29:00,7.29
2017-11-30 19:19:00,2017-12-01 07:46:00,6.95
2017-12-01 20:36:00,2017-12-02 09:26:00,7.95
2017-12-02 12:47:00,2017-12-02 14:42:00,4.65
2017-12-02 16:33:00,2017-12-02 17:20:00,0.19
2017-12-02 17:30:00,2017-12-03 11:24:00,7.28
2017-12-03 15:45:00,2017-12-04 07:49:00,7.41
2017-12-04 18:21:00,2017-12-05 08:11:00,7.22
2017-12-05 19:14:00,2017-12-06 08:05:00,7.62
2017-12-06 19:01:00,2017-12-07 07:56:00,6.7
2017-12-07 19:03:00,2017-12-08 07:31:00,7.13
2017-12-08 20:42:00,2017-12-09 09:20:00,10.25
2017-12-09 16:41:00,2017-12-11 07:39:00,7.23
2017-12-11 18:23:00,2017-12-12 07:40:00,8.25
2017-12-12 19:15:00,2017-12-13 07:33:00,6.92
2017-12-13 18:48:00,2017-12-14 07:53:00,7.53
2017-12-14 19:24:00,2017-12-15 07:49:00,6.66
2017-12-15 20:39:00,2017-12-16 09:36:00,8.16
2017-12-16 13:25:00,2017-12-17 09:45:00,6.21
2017-12-17 11:26:00,2017-12-17 13:18:00,5.44
2017-12-17 16:24:00,2017-12-18 08:09:00,6.98
2017-12-18 20:06:00,2017-12-19 08:08:00,7.94
2017-12-19 18:44:00,2017-12-20 09:09:00,6.16
2017-12-20 17:17:00,2017-12-21 09:48:00,5.55
2017-12-21 19:29:00,2017-12-22 07:37:00,6.07
