Start,End,Energy (kWh)
2017-11-23 17:27:00,2017-11-23 17:32:00,0.29
2017-11-27 17:03:00,2017-11-28 05:17:00,17.35
2017-11-28 19:09:00,2017-11-29 08:46:00,19.27
2017-11-29 20:56:00,2017-11-30 05:17:00,15.14
2017-11-30 19:43:00,2017-12-01 05:20:00,11.26
2017-12-01 17:14:00,2017-12-02 08:44:00,18.06
2017-12-03 18:40:00,2017-12-04 08:45:00,4.13
2017-12-04 10:50:00,2017-12-04 14:19:00,5.63
2017-12-04 22:51:00,2017-12-05 08:44:00,14.53
2017-12-05 22:12:00,2017-12-06 05:27:00,16.05
2017-12-06 19:31:00,2017-12-07 05:26:00,18.3
2017-12-07 19:14:00,2017-12-08 05:20:00,12.66
2017-12-08 18:39:00,2017-12-09 14:53:00,14.96
2017-12-10 17:09:00,2017-12-11 08:40:00,11.17
2017-12-11 08:41:00,2017-12-11 09:49:00,0.45
2017-12-11 12:06:00,2017-12-11 16:54:00,3.26
2017-12-11 18:03:00,2017-12-11 18:57:00,2.9
2017-12-11 20:44:00,2017-12-12 09:13:00,12.58
2017-12-12 19:03:00,2017-12-13 05:25:00,17.89
2017-12-13 19:35:00,2017-12-14 05:25:00,19.67
2017-12-14 18:59:00,2017-12-15 05:15:00,22.24
2017-12-15 17:06:00,2017-12-15 17:38:00,1.89
2017-12-15 17:56:00,2017-12-16 14:16:00,9.85
2017-12-16 18:59:00,2017-12-17 11:17:00,5.74
2017-12-17 12:18:00,2017-12-17 18:07:00,5.38
2017-12-17 19:10:00,2017-12-18 05:29:00,5.25
2017-12-18 19:36:00,2017-12-19 05:21:00,19.41
2017-12-19 18:16:00,2017-12-20 14:44:00,21.72
2017-12-20 17:11:00,2017-12-20 17:41:00,1.72
2017-12-20 18:34:00,2017-12-21 05:29:00,3.95
2017-12-21 18:39:00,2017-12-22 10:15:00,20.57
2017-12-22 17:22:00,2017-12-22 19:21:00,7.01
2017-12-22 22:29:00,2017-12-23 09:51:00,9.33
2017-12-23 21:30:00,2017-12-24 23:04:00,10.13
2017-12-24 23:52:00,2017-12-25 23:06:00,4.03
2017-12-26 00:12:00,2017-12-26 09:48:00,4.92
2017-12-27 00:07:00,2017-12-27 09:50:00,12.94
2017-12-27 12:44:00,2017-12-27 13:54:00,4.07
2017-12-27 14:59:00,2017-12-27 21:18:00,4.47
2017-12-27 22:26:00,2017-12-28 14:23:00,7.4
2017-12-29 00:53:00,2017-12-29 11:05:00,14.25
2017-12-29 11:54:00,2017-12-29 12:36:00,2.31
2017-12-29 14:55:00,2017-12-29 22:49:00,21.19
2017-12-29 23:59:00,2017-12-30 14:55:00,3.39
2017-12-31 09:52:00,2017-12-31 11:27:00,5.12
2017-12-31 20:25:00,2018-01-01 11:49:00,10.04
2018-01-01 15:16:00,2018-01-01 16:28:00,4.19
2018-01-01 17:44:00,2018-01-02 05:12:00,6.61
2018-01-02 18:53:00,2018-01-03 08:42:00,17.32
2018-01-03 14:41:00,2018-01-03 15:16:00,2.01
2018-01-03 16:12:00,2018-01-03 16:46:00,2
2018-01-03 19:39:00,2018-01-04 05:21:00,9.94
2018-01-04 19:31:00,2018-01-05 05:26:00,19.02
2018-01-05 16:36:00,2018-01-06 08:20:00,21.08
2018-01-06 23:48:00,2018-01-07 09:59:00,7.09
2018-01-07 12:58:00,2018-01-07 20:38:00,7.06
2018-01-07 20:50:00,2018-01-08 05:14:00,1.93
2018-01-08 19:21:00,2018-01-09 05:21:00,17.2
2018-01-09 18:45:00,2018-01-10 05:21:00,21.48
2018-01-10 19:26:00,2018-01-11 05:21:00,21.63
2018-01-11 21:32:00,2018-01-12 02:55:00,17.36
2018-01-12 03:22:00,2018-01-12 05:18:00,3.46
2018-01-12 16:48:00,2018-01-12 17:26:00,2.23
2018-01-12 17:36:00,2018-01-12 20:10:00,8.96
2018-01-12 21:40:00,2018-01-13 09:30:00,10.49
2018-01-13 23:59:00,2018-01-14 09:28:00,9.62
2018-01-14 19:10:00,2018-01-15 05:14:00,12.52
2018-01-15 18:43:00,2018-01-16 05:13:00,17.41
2018-01-16 19:50:00,2018-01-17 05:35:00,14.67
2018-01-17 17:32:00,2018-01-18 08:46:00,21.28
2018-01-18 09:40:00,2018-01-18 15:17:00,2.69
2018-01-18 21:19:00,2018-01-19 08:45:00,7.79
2018-01-19 10:51:00,2018-01-19 14:07:00,4.38
2018-01-19 18:42:00,2018-01-20 08:09:00,10.75
2018-01-20 08:22:00,2018-01-20 09:01:00,1.31
2018-01-20 13:18:00,2018-01-20 17:34:00,13.89
2018-01-20 19:23:00,2018-01-21 10:49:00,7.54
2018-01-21 13:38:00,2018-01-21 14:07:00,1.62
2018-01-21 16:37:00,2018-01-21 17:32:00,3.16
2018-01-21 17:43:00,2018-01-21 20:53:00,11.26
2018-01-21 21:08:00,2018-01-22 05:25:00,6.56
2018-01-22 18:48:00,2018-01-23 05:26:00,16.29
2018-01-23 19:06:00,2018-01-24 05:14:00,17.92
2018-01-24 18:46:00,2018-01-25 15:13:00,20.21
2018-01-25 21:30:00,2018-01-25 22:03:00,1.88
2018-01-25 22:31:00,2018-01-26 08:38:00,10.73
2018-01-26 12:39:00,2018-01-26 13:41:00,3.66
2018-01-26 14:15:00,2018-01-26 15:17:00,2.41
2018-01-26 22:14:00,2018-01-27 07:51:00,6.75
2018-01-27 08:23:00,2018-01-27 11:39:00,3.28
2018-01-27 12:18:00,2018-01-27 14:15:00,2.49
2018-01-27 14:31:00,2018-01-27 17:21:00,0.81
2018-01-28 16:36:00,2018-01-28 16:43:00,0.41
2018-01-28 17:25:00,2018-01-28 23:36:00,17.01
2018-01-29 00:12:00,2018-01-29 05:26:00,1.48
2018-01-29 18:39:00,2018-01-29 21:56:00,11.66
2018-01-29 22:53:00,2018-01-30 05:11:00,14.58
2018-01-30 18:50:00,2018-01-31 05:28:00,17.4
2018-01-31 22:33:00,2018-02-01 05:09:00,22.12
2018-02-01 18:54:00,2018-02-02 05:21:00,20.45
2018-02-02 16:28:00,2018-02-02 17:42:00,4.37
2018-02-02 18:35:00,2018-02-03 05:28:00,18.74
2018-02-03 21:00:00,2018-02-03 21:56:00,3.29
2018-02-03 22:21:00,2018-02-04 10:03:00,17.15
2018-02-04 18:11:00,2018-02-05 05:19:00,7.12
2018-02-05 18:37:00,2018-02-05 22:10:00,12.63
2018-02-05 23:17:00,2018-02-06 05:20:00,13.42
2018-02-06 19:08:00,2018-02-07 05:14:00,17.24
2018-02-07 18:28:00,2018-02-08 05:13:00,21.3
2018-02-08 19:20:00,2018-02-08 21:58:00,9.34
2018-02-08 23:39:00,2018-02-09 05:15:00,17.5
2018-02-09 16:59:00,2018-02-09 19:53:00,10.25
2018-02-09 22:55:00,2018-02-10 05:45:00,20.17
2018-02-10 16:07:00,2018-02-10 20:13:00,14.6
2018-02-10 20:56:00,2018-02-10 22:07:00,4.17
2018-02-11 00:01:00,2018-02-11 00:10:00,0.55
2018-02-11 01:12:00,2018-02-11 08:25:00,11.37
2018-02-11 08:31:00,2018-02-11 09:19:00,0.65
2018-02-11 13:43:00,2018-02-12 05:34:00,14.51
2018-02-12 19:10:00,2018-02-13 05:12:00,20.83
2018-02-13 19:01:00,2018-02-14 05:17:00,19.92
2018-02-14 19:03:00,2018-02-14 22:36:00,12.62
2018-02-14 23:02:00,2018-02-15 05:19:00,9.72
2018-02-15 18:44:00,2018-02-16 05:21:00,19.79
2018-02-16 17:00:00,2018-02-16 19:24:00,8.52
2018-02-16 21:29:00,2018-02-17 06:29:00,17.31
2018-02-17 10:41:00,2018-02-17 10:53:00,0.67
2018-02-17 12:12:00,2018-02-17 12:29:00,0.91
2018-02-17 13:22:00,2018-02-17 14:09:00,2.71
2018-02-17 20:07:00,2018-02-17 23:28:00,11.93
2018-02-18 00:50:00,2018-02-18 07:47:00,10.84
2018-02-18 08:49:00,2018-02-18 10:21:00,5.42
2018-02-18 18:38:00,2018-02-18 20:09:00,5.3
2018-02-18 22:12:00,2018-02-19 07:44:00,15.33
2018-02-19 19:28:00,2018-02-19 23:35:00,11.56
2018-02-20 00:48:00,2018-02-20 07:28:00,4.69
2018-02-20 19:35:00,2018-02-20 20:35:00,3.46
2018-02-20 22:10:00,2018-02-21 07:24:00,17.64
2018-02-21 23:08:00,2018-02-22 07:31:00,11.8
2018-02-22 13:14:00,2018-02-22 18:41:00,14.13
2018-02-22 21:25:00,2018-02-23 07:22:00,9.77
2018-02-23 16:36:00,2018-02-23 17:10:00,1.94
2018-02-23 18:21:00,2018-02-23 21:38:00,11.65
2018-02-23 23:50:00,2018-02-24 07:43:00,12.07
2018-02-24 19:17:00,2018-02-24 22:24:00,11.01
2018-02-24 23:39:00,2018-02-25 08:26:00,8.67
2018-02-25 22:55:00,2018-02-26 06:11:00,13.61
2018-02-26 18:17:00,2018-02-26 21:37:00,10.97
2018-02-26 23:46:00,2018-02-27 05:59:00,18.22
2018-02-27 18:15:00,2018-02-28 05:55:00,17.85
2018-02-28 17:58:00,2018-03-01 05:50:00,19.65
2018-03-01 17:53:00,2018-03-02 11:59:00,20.14
2018-03-02 15:14:00,2018-03-02 18:22:00,8.66
2018-03-02 20:22:00,2018-03-03 05:53:00,4.65
2018-03-03 18:56:00,2018-03-04 13:36:00,2.59
2018-03-04 16:25:00,2018-03-05 06:04:00,3.67
2018-03-05 18:02:00,2018-03-06 06:03:00,15.87
2018-03-06 17:52:00,2018-03-07 05:56:00,15.11
2018-03-07 18:25:00,2018-03-08 05:57:00,19.54
2018-03-08 18:47:00,2018-03-09 06:06:00,15.8
2018-03-09 18:14:00,2018-03-10 06:04:00,20.12
2018-03-10 15:42:00,2018-03-10 19:19:00,12.84
2018-03-10 19:35:00,2018-03-11 06:02:00,10.5
2018-03-11 16:07:00,2018-03-12 06:03:00,19.44
2018-03-12 18:29:00,2018-03-13 06:03:00,18.42
2018-03-13 18:20:00,2018-03-14 05:57:00,15.52
2018-03-14 18:29:00,2018-03-15 06:05:00,13.08
2018-03-15 18:21:00,2018-03-16 05:59:00,16.57
2018-03-16 18:48:00,2018-03-17 06:08:00,19.63
2018-03-17 17:30:00,2018-03-18 05:57:00,12.35
2018-03-18 14:25:00,2018-03-19 06:04:00,19.5
2018-03-19 18:46:00,2018-03-20 06:03:00,18.48
2018-03-20 18:49:00,2018-03-21 06:16:00,16.54
2018-03-21 17:06:00,2018-03-22 07:38:00,21.65
2018-03-22 20:40:00,2018-03-23 08:43:00,7.98
2018-03-23 17:16:00,2018-03-23 17:31:00,0.84
2018-03-23 19:13:00,2018-03-24 09:09:00,15.03
2018-03-25 16:35:00,2018-03-25 17:53:00,4.58
2018-03-25 21:19:00,2018-03-26 08:48:00,16.36
2018-03-26 17:23:00,2018-03-26 18:52:00,4.16
2018-03-26 23:09:00,2018-03-27 08:42:00,35.11
2018-03-27 18:48:00,2018-03-28 08:50:00,8.88
2018-03-28 19:50:00,2018-03-29 08:31:00,36.06
2018-03-29 10:26:00,2018-03-29 12:25:00,7
2018-03-29 12:55:00,2018-03-29 14:45:00,6.5
2018-03-29 15:58:00,2018-03-30 07:43:00,5.31
2018-03-30 17:43:00,2018-03-30 20:32:00,9.6
2018-03-31 21:55:00,2018-04-01 09:10:00,8.5
2018-04-02 17:33:00,2018-04-02 20:45:00,11
2018-04-02 21:40:00,2018-04-03 09:30:00,2.77
2018-04-17 20:46:00,2018-04-18 08:44:00,9.65
2018-04-19 00:16:00,2018-04-19 07:34:00,6.8
2018-04-19 13:45:00,2018-04-19 15:10:00,5
2018-04-19 17:51:00,2018-04-19 21:23:00,11.76
2018-04-19 22:56:00,2018-04-19 22:58:00,0.11
2018-04-19 23:08:00,2018-04-20 07:36:00,14.95
2018-04-20 13:34:00,2018-04-20 15:12:00,4.53
2018-04-21 14:01:00,2018-04-21 18:09:00,9.85
2018-04-22 22:38:00,2018-04-23 08:14:00,13.46
2018-04-25 07:31:00,2018-04-25 08:48:00,4.51
2018-04-25 21:19:00,2018-04-26 07:45:00,14.74
2018-04-27 06:30:00,2018-04-27 08:44:00,7.9
2018-04-27 12:16:00,2018-04-27 14:44:00,8.72
2018-04-29 13:23:00,2018-04-30 08:41:00,16.91
2018-05-01 09:32:00,2018-05-01 10:02:00,1.68
2018-05-01 16:05:00,2018-05-01 16:44:00,2.24
2018-05-01 18:19:00,2018-05-01 18:44:00,1.42
2018-05-01 21:19:00,2018-05-02 07:44:00,19.96
2018-05-02 22:05:00,2018-05-03 07:54:00,11.65
2018-05-03 20:51:00,2018-05-04 08:44:00,7.86
2018-05-05 22:46:00,2018-05-06 11:14:00,11.9
2018-05-08 10:24:00,2018-05-08 14:22:00,9.95
2018-05-09 20:34:00,2018-05-10 07:46:00,13.27
2018-05-10 10:25:00,2018-05-10 12:58:00,3.54
2018-05-10 20:59:00,2018-05-11 08:41:00,14.17
2018-05-13 15:35:00,2018-05-13 15:53:00,0.97
2018-05-13 16:09:00,2018-05-13 18:29:00,8.33
2018-05-13 18:42:00,2018-05-14 07:42:00,6.27
2018-05-15 16:43:00,2018-05-16 08:35:00,15.25
2018-05-16 20:33:00,2018-05-17 07:36:00,7.8
2018-05-19 07:46:00,2018-05-19 08:45:00,3.47
2018-05-19 10:07:00,2018-05-19 10:52:00,2.64
2018-05-19 13:36:00,2018-05-20 08:32:00,10.46
2018-05-20 09:38:00,2018-05-20 10:55:00,4.56
2018-05-20 19:44:00,2018-05-21 08:45:00,17.07
2018-05-23 20:37:00,2018-05-24 08:48:00,14.11
2018-05-25 15:54:00,2018-05-25 17:31:00,5.74
2018-05-25 19:15:00,2018-05-26 08:29:00,9.09
2018-05-27 22:04:00,2018-05-28 09:17:00,8.86
2018-05-29 00:09:00,2018-05-29 08:11:00,20.14
2018-05-29 15:36:00,2018-05-30 07:46:00,7.47
2018-05-30 21:55:00,2018-05-31 07:43:00,10.97
2018-06-02 09:06:00,2018-06-02 14:30:00,13.36
2018-06-03 16:06:00,2018-06-04 08:39:00,14.73
2018-06-04 21:38:00,2018-06-05 07:42:00,8.41
2018-06-06 10:38:00,2018-06-06 15:14:00,15.5
2018-06-07 21:29:00,2018-06-08 08:43:00,14.8
2018-06-08 14:17:00,2018-06-08 15:07:00,2.89
2018-06-08 16:20:00,2018-06-08 17:27:00,3.95
2018-06-08 22:00:00,2018-06-09 08:29:00,12.37
2018-06-09 16:23:00,2018-06-09 18:05:00,6
2018-06-09 22:17:00,2018-06-10 11:36:00,16.65
2018-06-11 14:55:00,2018-06-11 15:18:00,1.31
2018-06-11 19:08:00,2018-06-11 22:10:00,10.82
2018-06-12 20:21:00,2018-06-13 08:34:00,13.51
2018-06-13 21:14:00,2018-06-14 07:46:00,13.6
2018-06-14 21:40:00,2018-06-15 08:33:00,14.64
2018-06-16 13:17:00,2018-06-16 13:50:00,1.89
2018-06-17 00:36:00,2018-06-17 10:08:00,16.13
2018-06-17 17:07:00,2018-06-17 18:45:00,5.79
2018-06-17 19:52:00,2018-06-18 08:34:00,10.1
2018-06-18 22:11:00,2018-06-19 08:40:00,12.01
2018-06-20 21:18:00,2018-06-21 07:46:00,15.32
2018-06-21 20:17:00,2018-06-21 20:23:00,0.34
2018-06-21 20:57:00,2018-06-22 08:42:00,6.86
2018-06-23 10:31:00,2018-06-23 16:27:00,16.41
2018-06-23 21:17:00,2018-06-24 09:01:00,2.42
2018-06-24 16:25:00,2018-06-25 07:44:00,15.19
2018-06-27 07:29:00,2018-06-27 08:41:00,4.25
2018-06-27 22:58:00,2018-06-28 07:35:00,9.58
2018-06-28 21:29:00,2018-06-29 08:24:00,14.36
2018-06-29 13:37:00,2018-06-29 15:11:00,4.08
2018-06-30 18:01:00,2018-07-01 11:38:00,9.65
2018-07-02 22:02:00,2018-07-03 08:12:00,9.54
2018-07-03 12:07:00,2018-07-03 13:20:00,4.29
2018-07-03 13:27:00,2018-07-03 14:07:00,2.29
2018-07-03 18:22:00,2018-07-03 18:32:00,0.6
2018-07-03 19:08:00,2018-07-04 08:41:00,13.73
2018-07-04 17:56:00,2018-07-05 02:00:00,9.35
2018-07-10 16:29:00,2018-07-10 16:34:00,0.31
2018-07-10 16:43:00,2018-07-11 07:35:00,18.25
2018-07-11 19:09:00,2018-07-12 08:32:00,8.95
2018-07-12 20:59:00,2018-07-13 08:45:00,10.36
2018-07-16 21:50:00,2018-07-17 07:22:00,15.76
2018-07-18 20:39:00,2018-07-19 08:46:00,16.32
2018-07-19 21:10:00,2018-07-20 08:48:00,14.14
2018-07-21 09:48:00,2018-07-21 10:30:00,2.42
2018-07-21 15:02:00,2018-07-21 15:57:00,3.19
2018-07-21 17:44:00,2018-07-21 18:01:00,0.96
2018-07-21 18:57:00,2018-07-22 09:30:00,7.86
2018-07-23 19:48:00,2018-07-23 19:53:00,0.31
2018-07-23 20:07:00,2018-07-24 08:50:00,15.78
2018-07-24 16:27:00,2018-07-25 09:33:00,16.69
2018-07-25 17:35:00,2018-07-25 17:42:00,0.4
2018-07-25 21:35:00,2018-07-26 06:55:00,9.51
2018-07-26 18:40:00,2018-07-26 19:52:00,4.26
2018-07-26 20:03:00,2018-07-27 07:28:00,5.85
2018-07-27 13:38:00,2018-07-27 15:05:00,5.14
2018-07-27 18:15:00,2018-07-27 20:55:00,9.49
2018-07-27 21:54:00,2018-07-28 08:07:00,5.28
2018-07-28 11:54:00,2018-07-28 12:17:00,1.26
2018-07-28 12:48:00,2018-07-28 15:04:00,7.87
2018-07-28 19:42:00,2018-07-29 08:48:00,7.52
2018-07-29 10:18:00,2018-07-29 13:01:00,8.37
2018-07-29 20:20:00,2018-07-30 08:56:00,9.39
2018-07-30 22:27:00,2018-07-30 22:37:00,0.59
2018-07-31 08:05:00,2018-07-31 08:55:00,2.92
2018-07-31 13:12:00,2018-07-31 14:20:00,4
2018-07-31 19:06:00,2018-07-31 19:12:00,0.37
2018-07-31 19:15:00,2018-07-31 19:17:00,0.14
2018-07-31 19:18:00,2018-08-01 07:37:00,20.07
2018-08-01 16:07:00,2018-08-01 17:41:00,5.56
2018-08-01 20:58:00,2018-08-02 07:43:00,6.03
2018-08-02 18:34:00,2018-08-02 19:39:00,3.77
2018-08-02 23:12:00,2018-08-03 07:46:00,17.95
2018-08-03 15:06:00,2018-08-03 15:18:00,0.72
2018-08-03 16:31:00,2018-08-03 20:57:00,13.01
2018-08-03 21:45:00,2018-08-04 07:30:00,1.62
2018-08-04 18:41:00,2018-08-05 09:11:00,6.79
2018-08-05 16:12:00,2018-08-06 09:55:00,39.46
2018-08-06 18:38:00,2018-08-07 07:49:00,17.22
2018-08-07 07:57:00,2018-08-07 08:20:00,1.37
2018-08-07 09:55:00,2018-08-07 16:30:00,5.13
2018-08-07 20:50:00,2018-08-07 23:08:00,2.52
2018-08-07 23:08:00,2018-08-08 07:40:00,38.12
2018-08-08 19:14:00,2018-08-09 07:29:00,7.36
2018-08-10 07:04:00,2018-08-10 20:40:00,19.03
2018-08-10 20:42:00,2018-08-11 08:12:00,14.06
2018-08-11 16:33:00,2018-08-11 20:50:00,7.2
2018-08-12 08:26:00,2018-08-12 13:00:00,16.05
2018-08-12 19:12:00,2018-08-13 07:39:00,12.2
2018-08-13 12:07:00,2018-08-13 15:50:00,9.16
2018-08-13 15:50:00,2018-08-13 16:51:00,3.58
2018-08-13 21:30:00,2018-08-14 07:36:00,10.19
2018-08-14 19:16:00,2018-08-15 07:50:00,10.96
2018-08-15 17:42:00,2018-08-15 21:43:00,19.88
2018-08-15 21:44:00,2018-08-16 07:56:00,11.85
2018-08-16 08:04:00,2018-08-16 19:06:00,0.16
2018-08-16 20:12:00,2018-08-17 06:44:00,15.08
2018-08-17 20:48:00,2018-08-18 09:37:00,18.32
2018-08-18 21:07:00,2018-08-19 09:30:00,7.58
2018-08-20 20:15:00,2018-08-21 08:55:00,37.44
