Start,End,Energy (kWh)
2017-09-22 18:05:00,2017-09-22 18:30:00,1.4
2017-09-22 22:26:00,2017-09-23 07:57:00,7.32
2017-09-23 19:18:00,2017-09-24 09:55:00,4.97
2017-09-24 20:34:00,2017-09-25 05:45:00,8.22
2017-09-25 20:15:00,2017-09-26 05:47:00,8.5
2017-09-26 18:55:00,2017-09-27 05:47:00,8.5
2017-09-27 17:41:00,2017-09-27 19:31:00,6.39
2017-09-27 20:59:00,2017-09-28 05:47:00,8.44
2017-09-28 19:51:00,2017-09-29 07:16:00,8.62
2017-09-29 21:09:00,2017-09-30 06:44:00,9.06
2017-09-30 23:56:00,2017-10-01 10:09:00,8.48
2017-10-01 18:15:00,2017-10-02 07:06:00,8.78
2017-10-02 21:17:00,2017-10-03 05:41:00,8.21
2017-10-03 20:11:00,2017-10-04 05:43:00,8.78
2017-10-04 22:09:00,2017-10-05 05:42:00,8.47
2017-10-06 20:12:00,2017-10-07 06:20:00,7.54
2017-10-08 00:12:00,2017-10-08 09:43:00,7.46
2017-10-08 19:20:00,2017-10-09 07:08:00,8.5
2017-10-09 21:38:00,2017-10-10 05:39:00,7.92
2017-10-10 21:40:00,2017-10-11 05:41:00,8.31
2017-10-11 20:03:00,2017-10-12 05:47:00,9
2017-10-13 21:50:00,2017-10-14 08:54:00,8.45
2017-10-14 12:38:00,2017-10-14 17:55:00,6.64
2017-10-15 01:01:00,2017-10-15 09:32:00,7.43
2017-10-16 12:38:00,2017-10-16 14:46:00,4
2017-10-17 07:20:00,2017-10-17 08:47:00,5.06
2017-10-26 17:50:00,2017-10-27 05:46:00,8.95
2017-10-27 21:39:00,2017-10-28 10:56:00,9.47
2017-10-29 20:23:00,2017-10-30 06:54:00,8.8
2017-11-03 17:52:00,2017-11-03 18:02:00,0.58
2017-11-05 00:56:00,2017-11-05 08:47:00,9.46
2017-11-05 18:18:00,2017-11-06 05:53:00,9.45
2017-11-06 18:26:00,2017-11-06 18:27:00,0.02
2017-11-06 18:31:00,2017-11-07 05:46:00,8.78
2017-11-07 17:49:00,2017-11-07 19:24:00,0.8
2017-11-07 21:30:00,2017-11-08 06:56:00,9.66
2017-11-08 21:00:00,2017-11-09 05:52:00,8.91
2017-11-09 17:51:00,2017-11-10 05:50:00,8.9
2017-11-11 21:29:00,2017-11-12 06:42:00,10.26
2017-11-12 17:32:00,2017-11-13 06:53:00,10.32
2017-11-13 21:01:00,2017-11-14 05:46:00,8.77
2017-11-14 21:28:00,2017-11-15 05:49:00,8.78
2017-11-15 18:49:00,2017-11-16 05:50:00,9
2017-11-16 19:45:00,2017-11-17 05:47:00,8.9
2017-11-19 19:28:00,2017-11-20 06:38:00,9.38
2017-11-20 19:07:00,2017-11-21 05:47:00,8.75
2017-11-21 19:12:00,2017-11-22 05:49:00,8.71
2017-11-22 17:52:00,2017-11-22 18:27:00,2.01
2017-11-22 22:46:00,2017-11-23 06:58:00,9.31
2017-11-23 17:57:00,2017-11-24 05:40:00,8.63
2017-11-24 19:09:00,2017-11-25 06:53:00,9.59
2017-11-25 18:33:00,2017-11-26 06:39:00,8.04
2017-11-26 22:32:00,2017-11-27 16:25:00,9.32
2017-11-27 18:11:00,2017-11-28 05:45:00,7.16
2017-11-28 18:52:00,2017-11-29 06:59:00,9.48
