Start,End,Energy (kWh)
2017-04-03 16:34:00,2017-04-03 17:03:00,1.7
2017-04-03 17:04:00,2017-04-03 17:29:00,1.45
2017-04-03 18:05:00,2017-04-03 22:34:00,12.72
2017-04-23 16:22:00,2017-04-23 21:37:00,11.73
2017-04-24 17:41:00,2017-04-24 22:17:00,11.36
2017-04-26 18:45:00,2017-04-26 23:03:00,11.3
2017-04-27 18:04:00,2017-04-27 22:43:00,11.72
2017-05-01 15:14:00,2017-05-01 21:15:00,16.61
2017-05-02 17:45:00,2017-05-02 18:43:00,3.49
2017-05-02 21:42:00,2017-05-03 07:39:00,10.33
2017-05-03 19:14:00,2017-05-04 07:37:00,12
2017-05-04 17:18:00,2017-05-04 22:04:00,11.87
2017-05-06 15:52:00,2017-05-06 22:16:00,13.65
2017-05-08 22:06:00,2017-05-09 07:30:00,13.05
2017-05-09 16:58:00,2017-05-09 18:01:00,3.78
2017-05-10 18:26:00,2017-05-10 20:31:00,7.53
2017-05-10 20:43:00,2017-05-11 07:23:00,9.93
2017-05-11 18:35:00,2017-05-11 20:01:00,5.18
2017-05-12 21:17:00,2017-05-12 23:36:00,8.3
2017-05-13 12:56:00,2017-05-13 13:17:00,1.24
2017-05-15 17:19:00,2017-05-15 21:49:00,16.23
2017-05-16 16:48:00,2017-05-16 20:00:00,11.53
2017-05-17 18:08:00,2017-05-17 22:44:00,15
2017-05-18 17:40:00,2017-05-18 22:32:00,11.05
2017-05-21 12:43:00,2017-05-21 15:13:00,9.02
2017-05-21 15:27:00,2017-05-21 18:22:00,4.33
2017-05-22 17:05:00,2017-05-22 20:44:00,9.24
2017-05-23 19:41:00,2017-05-24 07:01:00,11.67
2017-05-24 20:55:00,2017-05-24 22:03:00,4.05
2017-05-29 16:52:00,2017-05-29 22:13:00,11.24
2017-05-30 17:31:00,2017-05-30 22:18:00,14.89
2017-05-31 18:29:00,2017-05-31 22:16:00,10.16
2017-06-02 17:15:00,2017-06-02 23:11:00,20.13
2017-06-04 20:25:00,2017-06-04 22:58:00,5.3
2017-06-05 17:24:00,2017-06-05 21:36:00,10.59
2017-06-06 21:59:00,2017-06-07 07:41:00,13.58
2017-06-07 18:12:00,2017-06-07 22:42:00,10.83
2017-06-08 17:58:00,2017-06-08 22:35:00,11.73
2017-06-12 17:52:00,2017-06-12 22:10:00,11.94
2017-06-13 22:02:00,2017-06-14 07:33:00,11.19
2017-06-14 17:58:00,2017-06-14 20:42:00,9.47
2017-06-14 20:43:00,2017-06-14 21:21:00,0.3
2017-06-21 19:44:00,2017-06-21 22:28:00,6.94
2017-06-22 18:44:00,2017-06-22 22:43:00,11.36
2017-06-24 16:09:00,2017-06-24 16:32:00,1.37
2017-06-25 19:22:00,2017-06-25 23:02:00,11.29
2017-06-26 22:02:00,2017-06-27 07:29:00,9.69
2017-06-27 17:15:00,2017-06-27 22:01:00,9.49
2017-06-28 18:22:00,2017-06-28 22:32:00,11.6
2017-06-29 18:15:00,2017-06-29 23:00:00,10.54
2017-06-30 08:05:00,2017-06-30 09:34:00,1.4
2017-07-02 10:34:00,2017-07-02 10:36:00,0.12
2017-07-02 10:37:00,2017-07-02 14:24:00,9.81
2017-07-02 15:45:00,2017-07-02 17:27:00,3.23
2017-07-03 16:51:00,2017-07-03 22:45:00,14.2
2017-07-04 17:25:00,2017-07-04 17:48:00,1.37
2017-07-04 20:31:00,2017-07-05 07:27:00,13.55
2017-07-15 15:15:00,2017-07-15 20:55:00,13.96
2017-07-16 19:25:00,2017-07-16 20:00:00,2.01
2017-07-16 20:03:00,2017-07-16 21:34:00,1.27
2017-07-17 17:29:00,2017-07-17 21:16:00,11.31
2017-07-18 18:16:00,2017-07-18 22:45:00,11.39
2017-07-19 22:05:00,2017-07-20 06:45:00,11.53
2017-07-20 20:38:00,2017-07-21 06:50:00,14.7
2017-07-23 20:32:00,2017-07-23 22:26:00,5.36
2017-07-24 17:51:00,2017-07-24 22:39:00,12.61
2017-07-25 17:28:00,2017-07-25 21:58:00,12.13
2017-07-26 17:13:00,2017-07-26 22:06:00,12.07
2017-07-27 17:44:00,2017-07-27 17:48:00,0.25
2017-07-27 18:15:00,2017-07-27 22:44:00,12.74
2017-07-30 15:31:00,2017-07-30 18:40:00,7.01
2017-07-31 17:00:00,2017-07-31 21:58:00,13.02
2017-08-01 17:21:00,2017-08-01 21:58:00,12.12
2017-08-02 22:00:00,2017-08-03 06:54:00,12.19
2017-08-03 17:37:00,2017-08-03 22:27:00,12.6
2017-08-06 18:56:00,2017-08-06 23:33:00,13.56
2017-08-07 21:32:00,2017-08-08 06:57:00,13.62
2017-08-08 22:13:00,2017-08-09 07:05:00,13.9
2017-08-09 18:54:00,2017-08-09 22:15:00,12.04
2017-08-13 22:55:00,2017-08-14 06:45:00,14.55
2017-08-14 18:06:00,2017-08-14 21:58:00,11.46
2017-08-15 17:36:00,2017-08-15 23:33:00,12.07
2017-09-01 12:52:00,2017-09-01 18:04:00,17.52
2017-09-06 20:25:00,2017-09-06 23:16:00,1.97
2017-09-07 17:50:00,2017-09-07 21:32:00,12.22
2017-09-09 17:51:00,2017-09-10 00:04:00,13.88
2017-09-11 17:17:00,2017-09-11 23:00:00,16.75
2017-09-12 06:52:00,2017-09-12 07:05:00,0.33
2017-09-12 17:37:00,2017-09-12 22:50:00,13.23
2017-09-13 17:57:00,2017-09-14 07:25:00,13.17
2017-09-14 17:45:00,2017-09-14 19:45:00,7.13
2017-09-14 20:10:00,2017-09-15 07:22:00,10.18
2017-09-17 11:22:00,2017-09-17 13:35:00,7.91
2017-09-17 14:49:00,2017-09-17 19:06:00,7.66
2017-09-18 17:59:00,2017-09-19 07:07:00,13.11
2017-09-19 17:27:00,2017-09-20 06:48:00,14.7
2017-09-20 17:47:00,2017-09-20 23:07:00,12.69
2017-09-21 18:07:00,2017-09-22 07:13:00,16.15
2017-09-24 18:33:00,2017-09-24 19:13:00,2.33
2017-09-24 19:32:00,2017-09-25 06:59:00,18.47
2017-09-25 17:22:00,2017-09-25 22:00:00,13.18
2017-09-26 17:45:00,2017-09-27 07:22:00,13.19
2017-09-27 22:12:00,2017-09-28 06:58:00,15.24
2017-09-28 18:15:00,2017-09-28 19:56:00,6.01
2017-09-28 20:10:00,2017-09-29 07:06:00,7.78
2017-10-01 13:56:00,2017-10-01 17:43:00,13.63
2017-10-01 18:05:00,2017-10-01 19:06:00,3.62
2017-10-01 19:36:00,2017-10-01 22:01:00,4.52
2017-10-02 18:29:00,2017-10-03 06:46:00,15.82
2017-10-07 20:55:00,2017-10-07 21:15:00,1.1
2017-10-08 10:02:00,2017-10-08 13:25:00,7.21
2017-10-08 21:01:00,2017-10-09 06:51:00,3.63
2017-10-09 18:18:00,2017-10-09 23:01:00,12.2
2017-10-10 18:11:00,2017-10-11 07:03:00,13.35
2017-10-11 22:05:00,2017-10-12 07:11:00,14.44
2017-10-14 17:28:00,2017-10-14 21:06:00,12.98
2017-10-15 11:49:00,2017-10-15 14:45:00,3.2
2017-10-17 17:31:00,2017-10-18 07:09:00,17.26
2017-10-18 18:25:00,2017-10-19 06:52:00,14.11
2017-10-19 18:20:00,2017-10-20 06:59:00,14.49
2017-10-21 11:34:00,2017-10-21 11:42:00,0.42
2017-10-21 12:43:00,2017-10-21 17:57:00,14.55
2017-10-22 18:36:00,2017-10-22 20:43:00,2.31
2017-10-23 22:03:00,2017-10-24 07:27:00,13.09
2017-10-24 23:24:00,2017-10-25 07:11:00,15.46
2017-10-26 18:06:00,2017-10-27 07:13:00,14.03
2017-10-29 13:22:00,2017-10-30 06:58:00,20.63
2017-10-30 22:21:00,2017-10-31 07:10:00,17.33
2017-11-01 18:25:00,2017-11-02 07:11:00,17.59
2017-11-05 10:23:00,2017-11-05 14:50:00,13.52
2017-11-05 15:36:00,2017-11-05 17:12:00,3.69
2017-11-07 21:50:00,2017-11-08 07:04:00,4.5
2017-11-08 22:34:00,2017-11-09 06:52:00,17.43
2017-11-09 18:18:00,2017-11-10 07:03:00,13.08
2017-11-11 17:18:00,2017-11-11 20:11:00,10.33
2017-11-12 11:04:00,2017-11-12 14:54:00,5.15
2017-11-12 16:46:00,2017-11-13 06:49:00,3.69
2017-11-13 17:41:00,2017-11-14 06:09:00,14.5
2017-11-14 19:31:00,2017-11-15 06:58:00,16.33
2017-11-15 17:59:00,2017-11-16 07:07:00,12.58
2017-11-16 18:10:00,2017-11-17 07:11:00,14.88
2017-11-18 09:21:00,2017-11-18 09:53:00,1.87
2017-11-18 10:02:00,2017-11-18 16:45:00,14.01
2017-11-19 19:00:00,2017-11-19 19:10:00,0.35
2017-11-19 20:09:00,2017-11-20 06:53:00,5.2
2017-11-20 17:21:00,2017-11-21 07:11:00,14.93
