Start,End,Energy (kWh)
2017-06-27 18:11:00,2017-06-27 19:43:00,5.15
2017-06-28 18:16:00,2017-06-28 19:42:00,5.08
2017-06-29 18:14:00,2017-06-29 21:35:00,4.98
2017-07-01 11:15:00,2017-07-01 12:47:00,5.58
2017-07-01 15:29:00,2017-07-01 17:26:00,3.79
2017-07-03 18:29:00,2017-07-03 20:45:00,5.21
2017-07-04 12:11:00,2017-07-04 18:08:00,5.02
2017-07-05 18:18:00,2017-07-05 23:26:00,5.1
2017-07-06 19:07:00,2017-07-06 22:26:00,5.25
2017-07-10 15:01:00,2017-07-10 20:30:00,4.91
2017-07-11 23:41:00,2017-07-12 08:49:00,5.24
2017-07-12 18:11:00,2017-07-13 00:29:00,5.19
2017-07-13 18:18:00,2017-07-13 22:23:00,5.28
2017-07-16 08:40:00,2017-07-16 10:53:00,2.95
2017-07-16 16:48:00,2017-07-17 00:29:00,4.97
2017-07-17 18:50:00,2017-07-17 21:56:00,5.02
2017-07-18 18:08:00,2017-07-18 23:11:00,5.06
2017-07-19 18:21:00,2017-07-19 21:49:00,4.92
2017-07-20 18:31:00,2017-07-20 23:34:00,5.11
2017-07-21 16:42:00,2017-07-22 09:56:00,5.35
2017-07-22 11:26:00,2017-07-22 13:21:00,2.78
2017-07-23 10:50:00,2017-07-23 14:44:00,5.42
2017-07-24 18:15:00,2017-07-24 23:23:00,4.96
2017-07-25 16:55:00,2017-07-25 21:53:00,4.89
2017-07-26 17:12:00,2017-07-26 21:09:00,5.21
2017-07-27 18:38:00,2017-07-27 21:52:00,5.12
2017-07-29 12:46:00,2017-07-29 14:51:00,4.92
2017-07-30 08:28:00,2017-07-30 09:17:00,3
2017-07-30 10:20:00,2017-07-30 12:00:00,4.67
2017-07-30 16:41:00,2017-07-30 23:25:00,5.08
2017-07-31 18:57:00,2017-07-31 23:28:00,5.12
2017-08-01 17:34:00,2017-08-01 22:10:00,5.28
2017-08-02 18:14:00,2017-08-02 21:29:00,5.09
2017-08-03 17:19:00,2017-08-03 22:08:00,5.19
2017-08-05 16:36:00,2017-08-05 21:18:00,5.08
2017-08-06 19:35:00,2017-08-07 00:01:00,5.26
2017-08-08 18:38:00,2017-08-08 20:24:00,4.96
2017-08-09 19:00:00,2017-08-10 08:53:00,4.79
2017-08-11 11:17:00,2017-08-11 19:30:00,2.51
2017-08-13 11:09:00,2017-08-13 12:46:00,5.7
2017-08-14 20:01:00,2017-08-15 07:59:00,5.3
2017-08-15 20:39:00,2017-08-16 10:06:00,5.16
2017-08-16 20:24:00,2017-08-16 22:45:00,5.51
2017-08-17 18:16:00,2017-08-17 22:42:00,4.96
2017-08-19 15:16:00,2017-08-19 16:12:00,3.41
2017-08-20 10:18:00,2017-08-21 07:17:00,5.4
2017-08-21 19:02:00,2017-08-21 23:09:00,4.83
2017-08-22 18:18:00,2017-08-23 08:23:00,5.04
2017-08-23 18:51:00,2017-08-24 08:03:00,5.29
2017-08-24 18:28:00,2017-08-25 08:07:00,5.17
2017-08-25 19:35:00,2017-08-26 07:20:00,5.15
2017-08-28 11:36:00,2017-08-28 15:52:00,5.11
2017-08-28 18:04:00,2017-08-29 00:04:00,4.84
2017-08-29 18:38:00,2017-08-30 09:48:00,5.07
2017-08-30 19:44:00,2017-08-31 08:13:00,5.12
2017-08-31 19:09:00,2017-09-01 08:17:00,4.92
2017-09-01 18:31:00,2017-09-02 09:55:00,5.12
2017-09-03 11:46:00,2017-09-03 16:45:00,5.26
2017-09-04 18:33:00,2017-09-05 08:10:00,4.93
2017-09-08 14:21:00,2017-09-08 15:38:00,4.69
2017-09-09 15:56:00,2017-09-09 16:37:00,2.48
2017-09-09 16:59:00,2017-09-10 09:17:00,4.38
2017-09-10 15:02:00,2017-09-10 15:53:00,3.03
2017-09-10 17:51:00,2017-09-11 07:14:00,4.85
2017-09-11 18:42:00,2017-09-12 07:13:00,5.09
2017-09-12 19:18:00,2017-09-13 00:08:00,5.07
2017-09-13 18:30:00,2017-09-14 08:27:00,5.17
