t,lambda,xi0,xi1,xi2,xi3,xi4,xi5,xi6,xi7,xi8,xi9,demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,device0_0,device1_0,device2_0,device3_0,device4_0,device5_0,device6_0,device7_0,device8_0,device9_0
38,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509531236029196,0.1068886998715689,0.1782061697868429,0.2734241112733078,0.2112137105631241,0.0803262539476637,0.1065903020956887,0.0642933522446519,0.0099415111355657,0.1052378032403233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509531236029196,0.1068886998715689,0.1782061697868429,0.2734241112733078,0.2112137105631241,0.0803262539476637,0.1065903020956887,0.0642933522446519,0.0099415111355657,0.1052378032403233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509531236029196,0.1068886998715689,0.1782061697868429,0.2734241112733078,0.2112137105631241,0.0803262539476637,0.1065903020956887,0.0642933522446519,0.0099415111355657,0.1052378032403233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1104735936465119,0.1791038143752118,0.2782403612052667,0.1380529095730583,0.082548582405343,0.1066099670161223,0.0642933522446519,0.0099415111355657,0.1077691901968203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1104735936465119,0.1791038143752118,0.2782403612052667,0.1380529095730583,0.082548582405343,0.1066099670161223,0.0642933522446519,0.0099415111355657,0.1077691901968203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1104735936465119,0.1791038143752118,0.2782403612052667,0.1380529095730583,0.082548582405343,0.1066099670161223,0.0642933522446519,0.0099415111355657,0.1077691901968203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1143182520131961,0.1799204403726455,0.2855233779764887,0.1327773143534171,0.0848095769494723,0.106632739155246,0.0642933522446519,0.0099415111355657,0.110158821598797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1143182520131961,0.1799204403726455,0.2855233779764887,0.1327773143534171,0.0848095769494723,0.106632739155246,0.0642933522446519,0.0099415111355657,0.110158821598797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,32.92048,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496518890970438,0.1143182520131961,0.1799204403726455,0.2855233779764887,0.1327773143534171,0.0848095769494723,0.106632739155246,0.0642933522446519,0.0099415111355657,0.110158821598797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,34.1339,45296.17957235011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1189902098028759,0.156050479113323,0.2753239872610269,0.1284078373377765,0.0861575165714419,0.1018054034416407,0.0590459926832086,0.0096929733571766,0.1109633726353617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1189902098028759,0.156050479113323,0.2753239872610269,0.1284078373377765,0.0861575165714419,0.1018054034416407,0.0590459926832086,0.0096929733571766,0.1109633726353617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1189902098028759,0.156050479113323,0.2753239872610269,0.1284078373377765,0.0861575165714419,0.1018054034416407,0.0590459926832086,0.0096929733571766,0.1109633726353617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.129857952995547,0.156050479113323,0.267707300609602,0.2080895148371954,0.0882413555065952,0.1018038531859051,0.0590459926832086,0.0096929733571766,0.1117432654107863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.129857952995547,0.156050479113323,0.267707300609602,0.2080895148371954,0.0882413555065952,0.1018038531859051,0.0590459926832086,0.0096929733571766,0.1117432654107863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.129857952995547,0.156050479113323,0.267707300609602,0.2080895148371954,0.0882413555065952,0.1018038531859051,0.0590459926832086,0.0096929733571766,0.1117432654107863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1325880479137096,0.156050479113323,0.2705988925561788,0.2279992225683909,0.0903296845394284,0.1018028191638458,0.0590459926832086,0.0096929733571766,0.1123716335748015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1325880479137096,0.156050479113323,0.2705988925561788,0.2279992225683909,0.0903296845394284,0.1018028191638458,0.0590459926832086,0.0096929733571766,0.1123716335748015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1325880479137096,0.156050479113323,0.2705988925561788,0.2279992225683909,0.0903296845394284,0.1018028191638458,0.0590459926832086,0.0096929733571766,0.1123716335748015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1351160621799578,0.156050479113323,0.273746192449615,0.2279961063101721,0.0923576814314406,0.101804889518917,0.0590459926832086,0.0096929733571766,0.1129384955166089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1351160621799578,0.156050479113323,0.273746192449615,0.2279961063101721,0.0923576814314406,0.101804889518917,0.0590459926832086,0.0096929733571766,0.1129384955166089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,34.1339,45294.96615235007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493194626200864,0.1351160621799578,0.156050479113323,0.273746192449615,0.2279961063101721,0.0923576814314406,0.101804889518917,0.0590459926832086,0.0096929733571766,0.1129384955166089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
